1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.498,11.1,0,55,0,0,0,0,1,7
2,-0.5,11.1,0,55,0,0,0,0,1,7
3,-0.502,11.1,0,55,0,0,0,0,1,7
4,-0.504,11.1,0,55,0,0,0,0,1,7
5,-0.506,11.1,0,55,0,0,0,0,1,7
6,-0.508,11.1,0,55,0,0,0,0,1,7
7,-0.51,11.1,0,55,0,0,0,0,1,7
8,-0.512,11.1,0,55,0,0,0,0,1,7
9,-0.514,11.1,0,55,0,0,0,0,1,7
10,-0.516,11.1,0,55,0,0,0,0,1,7
11,-0.5224,11.1,0,55,0,0,0,0,1,7
12,-0.5244,11.1,0,55,0,0,0,0,1,7
13,-0.5264,11.1,0,55,0,0,0,0,1,7
14,-0.5284,11.1,0,55,0,0,0,0,1,7
15,-0.5304,11.1,0,55,0,0,0,0,1,7
16,-0.5324,11.1,0,55,0,0,0,0,1,7
17,-0.5344,11.1,0,55,0,0,0,0,1,7
18,-0.5364,11.1,0,55,0,0,0,0,1,7
19,-0.5384,11.1,0,55,0,0,0,0,1,7
20,-0.5404,11.1,0,55,0,0,0,0,1,7
21,-0.5468,11.1,0,55,0,0,0,0,1,7
22,-0.5488,11.1,0,55,0,0,0,0,1,7
23,-0.5508,11.1,0,55,0,0,0,0,1,7
24,-0.5528,11.1,0,55,0,0,0,0,1,7
25,-0.5548,11.1,0,55,0,0,0,0,1,7
26,-0.5568,11.1,0,55,0,0,0,0,1,7
27,-0.5588,11.1,0,55,0,0,0,0,1,7
28,-0.5608,11.1,0,55,0,0,0,0,1,7
29,-0.5628,11.1,0,55,0,0,0,0,1,7
30,-0.5648,11.1,0,55,0,0,0,0,1,7
31,-0.5712,11.1,0,55,0,0,0,0,1,7
32,-0.5732,11.1,0,55,0,0,0,0,1,7
33,-0.5752,11.1,0,55,0,0,0,0,1,7
34,-0.5772,11.1,0,55,0,0,0,0,1,7
35,-0.5792,11.1,0,55,0,0,0,0,1,7
36,-0.5812,11.1,0,55,0,0,0,0,1,7
37,-0.5832,11.1,0,55,0,0,0,0,1,7
38,-0.5852,11.1,0,55,0,0,0,0,1,7
39,-0.5872,11.1,0,55,0,0,0,0,1,7
40,-0.5892,11.1,0,55,0,0,0,0,1,7
41,-0.5956,11.1,0,55,0,0,0,0,1,7
42,-0.5986,11.1,0,55,0,0,0,0,1,7
43,-0.6016,11.1,0,55,0,0,0,0,1,7
44,-0.6046,11.1,0,55,0,0,0,0,1,7
45,-0.6076,11.1,0,55,0,0,0,0,1,7
46,-0.6106,11.1,0,55,0,0,0,0,1,7
47,-0.6136,11.1,0,55,0,0,0,0,1,7
48,-0.6166,11.1,0,55,0,0,0,0,1,7
49,-0.6196,11.1,0,55,0,0,0,0,1,7
50,-0.6226,11.1,0,55,0,0,0,0,1,7
