1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.3,11.1,0,55,0,0,0,0,1,7
2,-0.304,11.1,0,55,0,0,0,0,1,7
3,-0.308,11.1,0,55,0,0,0,0,1,7
4,-0.312,11.1,0,55,0,0,0,0,1,7
5,-0.316,11.1,0,55,0,0,0,0,1,7
6,-0.32,11.1,0,55,0,0,0,0,1,7
7,-0.324,11.1,0,55,0,0,0,0,1,7
8,-0.328,11.1,0,55,0,0,0,0,1,7
9,-0.332,11.1,0,55,0,0,0,0,1,7
10,-0.336,11.1,0,55,0,0,0,0,1,7
11,-0.342,11.1,0,55,0,0,0,0,1,7
12,-0.346,11.1,0,55,0,0,0,0,1,7
13,-0.35,11.1,0,55,0,0,0,0,1,7
14,-0.354,11.1,0,55,0,0,0,0,1,7
15,-0.358,11.1,0,55,0,0,0,0,1,7
16,-0.362,11.1,0,55,0,0,0,0,1,7
17,-0.366,11.1,0,55,0,0,0,0,1,7
18,-0.37,11.1,0,55,0,0,0,0,1,7
19,-0.374,11.1,0,55,0,0,0,0,1,7
20,-0.378,11.1,0,55,0,0,0,0,1,7
21,-0.384,11.1,0,55,0,0,0,0,1,7
22,-0.388,11.1,0,55,0,0,0,0,1,7
23,-0.392,11.1,0,55,0,0,0,0,1,7
24,-0.396,11.1,0,55,0,0,0,0,1,7
25,-0.4,11.1,0,55,0,0,0,0,1,7
26,-0.404,11.1,0,55,0,0,0,0,1,7
27,-0.408,11.1,0,55,0,0,0,0,1,7
28,-0.412,11.1,0,55,0,0,0,0,1,7
29,-0.416,11.1,0,55,0,0,0,0,1,7
30,-0.42,11.1,0,55,0,0,0,0,1,7
31,-0.426,11.1,0,55,0,0,0,0,1,7
32,-0.43,11.1,0,55,0,0,0,0,1,7
33,-0.434,11.1,0,55,0,0,0,0,1,7
34,-0.438,11.1,0,55,0,0,0,0,1,7
35,-0.442,11.1,0,55,0,0,0,0,1,7
36,-0.446,11.1,0,55,0,0,0,0,1,7
37,-0.45,11.1,0,55,0,0,0,0,1,7
38,-0.454,11.1,0,55,0,0,0,0,1,7
39,-0.458,11.1,0,55,0,0,0,0,1,7
40,-0.462,11.1,0,55,0,0,0,0,1,7
41,-0.468,11.1,0,55,0,0,0,0,1,7
42,-0.473,11.1,0,55,0,0,0,0,1,7
43,-0.478,11.1,0,55,0,0,0,0,1,7
44,-0.483,11.1,0,55,0,0,0,0,1,7
45,-0.488,11.1,0,55,0,0,0,0,1,7
46,-0.493,11.1,0,55,0,0,0,0,1,7
47,-0.498,11.1,0,55,0,0,0,0,1,7
48,-0.503,11.1,0,55,0,0,0,0,1,7
49,-0.508,11.1,0,55,0,0,0,0,1,7
50,-0.513,11.1,0,55,0,0,0,0,1,7
