1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.26,11.1,0,55,0,0,0,0,1,7
2,-0.264,11.1,0,55,0,0,0,0,1,7
3,-0.268,11.1,0,55,0,0,0,0,1,7
4,-0.272,11.1,0,55,0,0,0,0,1,7
5,-0.276,11.1,0,55,0,0,0,0,1,7
6,-0.28,11.1,0,55,0,0,0,0,1,7
7,-0.284,11.1,0,55,0,0,0,0,1,7
8,-0.288,11.1,0,55,0,0,0,0,1,7
9,-0.292,11.1,0,55,0,0,0,0,1,7
10,-0.296,11.1,0,55,0,0,0,0,1,7
11,-0.298,11.1,0,55,0,0,0,0,1,7
12,-0.302,11.1,0,55,0,0,0,0,1,7
13,-0.306,11.1,0,55,0,0,0,0,1,7
14,-0.31,11.1,0,55,0,0,0,0,1,7
15,-0.314,11.1,0,55,0,0,0,0,1,7
16,-0.318,11.1,0,55,0,0,0,0,1,7
17,-0.322,11.1,0,55,0,0,0,0,1,7
18,-0.326,11.1,0,55,0,0,0,0,1,7
19,-0.33,11.1,0,55,0,0,0,0,1,7
20,-0.334,11.1,0,55,0,0,0,0,1,7
21,-0.336,11.1,0,55,0,0,0,0,1,7
22,-0.34,11.1,0,55,0,0,0,0,1,7
23,-0.344,11.1,0,55,0,0,0,0,1,7
24,-0.348,11.1,0,55,0,0,0,0,1,7
25,-0.352,11.1,0,55,0,0,0,0,1,7
26,-0.356,11.1,0,55,0,0,0,0,1,7
27,-0.36,11.1,0,55,0,0,0,0,1,7
28,-0.364,11.1,0,55,0,0,0,0,1,7
29,-0.368,11.1,0,55,0,0,0,0,1,7
30,-0.372,11.1,0,55,0,0,0,0,1,7
31,-0.374,11.1,0,55,0,0,0,0,1,7
32,-0.378,11.1,0,55,0,0,0,0,1,7
33,-0.382,11.1,0,55,0,0,0,0,1,7
34,-0.386,11.1,0,55,0,0,0,0,1,7
35,-0.39,11.1,0,55,0,0,0,0,1,7
36,-0.394,11.1,0,55,0,0,0,0,1,7
37,-0.398,11.1,0,55,0,0,0,0,1,7
38,-0.402,11.1,0,55,0,0,0,0,1,7
39,-0.406,11.1,0,55,0,0,0,0,1,7
40,-0.41,11.1,0,55,0,0,0,0,1,7
41,-0.412,11.1,0,55,0,0,0,0,1,7
42,-0.416,11.1,0,55,0,0,0,0,1,7
43,-0.42,11.1,0,55,0,0,0,0,1,7
44,-0.424,11.1,0,55,0,0,0,0,1,7
45,-0.428,11.1,0,55,0,0,0,0,1,7
46,-0.432,11.1,0,55,0,0,0,0,1,7
47,-0.436,11.1,0,55,0,0,0,0,1,7
48,-0.44,11.1,0,55,0,0,0,0,1,7
49,-0.444,11.1,0,55,0,0,0,0,1,7
50,-0.448,11.1,0,55,0,0,0,0,1,7
