2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.2,13.3,30,0,0,0,6,0,1,7
2,-0.202,13.3,30,0,0,0,6,0,1,7
3,-0.204,13.3,30,0,0,0,6,0,1,7
4,-0.206,13.3,30,0,0,0,6,0,1,7
5,-0.208,13.3,30,0,0,0,6,0,1,7
6,-0.21,13.3,30,0,0,0,6,0,1,7
7,-0.212,13.3,30,0,0,0,6,0,1,7
8,-0.214,13.3,30,0,0,0,6,0,1,7
9,-0.216,13.3,30,0,0,0,6,0,1,7
10,-0.218,13.3,30,0,0,0,6,0,1,7
11,-0.2232,13.3,30,0,0,0,6,0,1,7
12,-0.2252,13.3,30,0,0,0,6,0,1,7
13,-0.2272,13.3,30,0,0,0,6,0,1,7
14,-0.2292,13.3,30,0,0,0,6,0,1,7
15,-0.2312,13.3,30,0,0,0,6,0,1,7
16,-0.2332,13.3,30,0,0,0,6,0,1,7
17,-0.2352,13.3,30,0,0,0,6,0,1,7
18,-0.2372,13.3,30,0,0,0,6,0,1,7
19,-0.2392,13.3,30,0,0,0,6,0,1,7
20,-0.2412,13.3,30,0,0,0,6,0,1,7
21,-0.2464,13.3,30,0,0,0,6,0,1,7
22,-0.2484,13.3,30,0,0,0,6,0,1,7
23,-0.2504,13.3,30,0,0,0,6,0,1,7
24,-0.2524,13.3,30,0,0,0,6,0,1,7
25,-0.2544,13.3,30,0,0,0,6,0,1,7
26,-0.2564,13.3,30,0,0,0,6,0,1,7
27,-0.2584,13.3,30,0,0,0,6,0,1,7
28,-0.2604,13.3,30,0,0,0,6,0,1,7
29,-0.2624,13.3,30,0,0,0,6,0,1,7
30,-0.2644,13.3,30,0,0,0,6,0,1,7
31,-0.2696,13.3,30,0,0,0,6,0,1,7
32,-0.2716,13.3,30,0,0,0,6,0,1,7
33,-0.2736,13.3,30,0,0,0,6,0,1,7
34,-0.2756,13.3,30,0,0,0,6,0,1,7
35,-0.2776,13.3,30,0,0,0,6,0,1,7
36,-0.2796,13.3,30,0,0,0,6,0,1,7
37,-0.2816,13.3,30,0,0,0,6,0,1,7
38,-0.2836,13.3,30,0,0,0,6,0,1,7
39,-0.2856,13.3,30,0,0,0,6,0,1,7
40,-0.2876,13.3,30,0,0,0,6,0,1,7
41,-0.2928,13.3,30,0,0,0,6,0,1,7
42,-0.2958,13.3,30,0,0,0,6,0,1,7
43,-0.2988,13.3,30,0,0,0,6,0,1,7
44,-0.3018,13.3,30,0,0,0,6,0,1,7
45,-0.3048,13.3,30,0,0,0,6,0,1,7
46,-0.3078,13.3,30,0,0,0,6,0,1,7
47,-0.3108,13.3,30,0,0,0,6,0,1,7
48,-0.3138,13.3,30,0,0,0,6,0,1,7
49,-0.3168,13.3,30,0,0,0,6,0,1,7
50,-0.3198,13.3,30,0,0,0,6,0,1,7
