2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.32,13.3,30,0,0,0,6,0,1,7
2,-0.323,13.3,30,0,0,0,6,0,1,7
3,-0.326,13.3,30,0,0,0,6,0,1,7
4,-0.329,13.3,30,0,0,0,6,0,1,7
5,-0.332,13.3,30,0,0,0,6,0,1,7
6,-0.335,13.3,30,0,0,0,6,0,1,7
7,-0.338,13.3,30,0,0,0,6,0,1,7
8,-0.341,13.3,30,0,0,0,6,0,1,7
9,-0.344,13.3,30,0,0,0,6,0,1,7
10,-0.347,13.3,30,0,0,0,6,0,1,7
11,-0.355,13.3,30,0,0,0,6,0,1,7
12,-0.359,13.3,30,0,0,0,6,0,1,7
13,-0.363,13.3,30,0,0,0,6,0,1,7
14,-0.367,13.3,30,0,0,0,6,0,1,7
15,-0.371,13.3,30,0,0,0,6,0,1,7
16,-0.375,13.3,30,0,0,0,6,0,1,7
17,-0.379,13.3,30,0,0,0,6,0,1,7
18,-0.383,13.3,30,0,0,0,6,0,1,7
19,-0.387,13.3,30,0,0,0,6,0,1,7
20,-0.391,13.3,30,0,0,0,6,0,1,7
21,-0.39,13.3,30,0,0,0,6,0,1,7
22,-0.393,13.3,30,0,0,0,6,0,1,7
23,-0.396,13.3,30,0,0,0,6,0,1,7
24,-0.399,13.3,30,0,0,0,6,0,1,7
25,-0.402,13.3,30,0,0,0,6,0,1,7
26,-0.405,13.3,30,0,0,0,6,0,1,7
27,-0.408,13.3,30,0,0,0,6,0,1,7
28,-0.411,13.3,30,0,0,0,6,0,1,7
29,-0.414,13.3,30,0,0,0,6,0,1,7
30,-0.417,13.3,30,0,0,0,6,0,1,7
31,-0.425,13.3,30,0,0,0,6,0,1,7
32,-0.429,13.3,30,0,0,0,6,0,1,7
33,-0.433,13.3,30,0,0,0,6,0,1,7
34,-0.437,13.3,30,0,0,0,6,0,1,7
35,-0.441,13.3,30,0,0,0,6,0,1,7
36,-0.445,13.3,30,0,0,0,6,0,1,7
37,-0.449,13.3,30,0,0,0,6,0,1,7
38,-0.453,13.3,30,0,0,0,6,0,1,7
39,-0.457,13.3,30,0,0,0,6,0,1,7
40,-0.461,13.3,30,0,0,0,6,0,1,7
41,-0.46,13.3,30,0,0,0,6,0,1,7
42,-0.464,13.3,30,0,0,0,6,0,1,7
43,-0.468,13.3,30,0,0,0,6,0,1,7
44,-0.472,13.3,30,0,0,0,6,0,1,7
45,-0.476,13.3,30,0,0,0,6,0,1,7
46,-0.48,13.3,30,0,0,0,6,0,1,7
47,-0.484,13.3,30,0,0,0,6,0,1,7
48,-0.488,13.3,30,0,0,0,6,0,1,7
49,-0.492,13.3,30,0,0,0,6,0,1,7
50,-0.496,13.3,30,0,0,0,6,0,1,7
