2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.423,13.3,30,0,0,0,6,0,1,7
2,-0.426,13.3,30,0,0,0,6,0,1,7
3,-0.429,13.3,30,0,0,0,6,0,1,7
4,-0.432,13.3,30,0,0,0,6,0,1,7
5,-0.435,13.3,30,0,0,0,6,0,1,7
6,-0.438,13.3,30,0,0,0,6,0,1,7
7,-0.441,13.3,30,0,0,0,6,0,1,7
8,-0.444,13.3,30,0,0,0,6,0,1,7
9,-0.447,13.3,30,0,0,0,6,0,1,7
10,-0.45,13.3,30,0,0,0,6,0,1,7
11,-0.4514,13.3,30,0,0,0,6,0,1,7
12,-0.4544,13.3,30,0,0,0,6,0,1,7
13,-0.4574,13.3,30,0,0,0,6,0,1,7
14,-0.4604,13.3,30,0,0,0,6,0,1,7
15,-0.4634,13.3,30,0,0,0,6,0,1,7
16,-0.4664,13.3,30,0,0,0,6,0,1,7
17,-0.4694,13.3,30,0,0,0,6,0,1,7
18,-0.4724,13.3,30,0,0,0,6,0,1,7
19,-0.4754,13.3,30,0,0,0,6,0,1,7
20,-0.4784,13.3,30,0,0,0,6,0,1,7
21,-0.4798,13.3,30,0,0,0,6,0,1,7
22,-0.4828,13.3,30,0,0,0,6,0,1,7
23,-0.4858,13.3,30,0,0,0,6,0,1,7
24,-0.4888,13.3,30,0,0,0,6,0,1,7
25,-0.4918,13.3,30,0,0,0,6,0,1,7
26,-0.4948,13.3,30,0,0,0,6,0,1,7
27,-0.4978,13.3,30,0,0,0,6,0,1,7
28,-0.5008,13.3,30,0,0,0,6,0,1,7
29,-0.5038,13.3,30,0,0,0,6,0,1,7
30,-0.5068,13.3,30,0,0,0,6,0,1,7
31,-0.5082,13.3,30,0,0,0,6,0,1,7
32,-0.5112,13.3,30,0,0,0,6,0,1,7
33,-0.5142,13.3,30,0,0,0,6,0,1,7
34,-0.5172,13.3,30,0,0,0,6,0,1,7
35,-0.5202,13.3,30,0,0,0,6,0,1,7
36,-0.5232,13.3,30,0,0,0,6,0,1,7
37,-0.5262,13.3,30,0,0,0,6,0,1,7
38,-0.5292,13.3,30,0,0,0,6,0,1,7
39,-0.5322,13.3,30,0,0,0,6,0,1,7
40,-0.5352,13.3,30,0,0,0,6,0,1,7
41,-0.5366,13.3,30,0,0,0,6,0,1,7
42,-0.5396,13.3,30,0,0,0,6,0,1,7
43,-0.5426,13.3,30,0,0,0,6,0,1,7
44,-0.5456,13.3,30,0,0,0,6,0,1,7
45,-0.5486,13.3,30,0,0,0,6,0,1,7
46,-0.5516,13.3,30,0,0,0,6,0,1,7
47,-0.5546,13.3,30,0,0,0,6,0,1,7
48,-0.5576,13.3,30,0,0,0,6,0,1,7
49,-0.5606,13.3,30,0,0,0,6,0,1,7
50,-0.5636,13.3,30,0,0,0,6,0,1,7
