2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.29,13.3,30,0,0,0,6,0,1,7
2,-0.293,13.3,30,0,0,0,6,0,1,7
3,-0.296,13.3,30,0,0,0,6,0,1,7
4,-0.299,13.3,30,0,0,0,6,0,1,7
5,-0.302,13.3,30,0,0,0,6,0,1,7
6,-0.305,13.3,30,0,0,0,6,0,1,7
7,-0.308,13.3,30,0,0,0,6,0,1,7
8,-0.311,13.3,30,0,0,0,6,0,1,7
9,-0.314,13.3,30,0,0,0,6,0,1,7
10,-0.317,13.3,30,0,0,0,6,0,1,7
11,-0.3202,13.3,30,0,0,0,6,0,1,7
12,-0.3232,13.3,30,0,0,0,6,0,1,7
13,-0.3262,13.3,30,0,0,0,6,0,1,7
14,-0.3292,13.3,30,0,0,0,6,0,1,7
15,-0.3322,13.3,30,0,0,0,6,0,1,7
16,-0.3352,13.3,30,0,0,0,6,0,1,7
17,-0.3382,13.3,30,0,0,0,6,0,1,7
18,-0.3412,13.3,30,0,0,0,6,0,1,7
19,-0.3442,13.3,30,0,0,0,6,0,1,7
20,-0.3472,13.3,30,0,0,0,6,0,1,7
21,-0.3504,13.3,30,0,0,0,6,0,1,7
22,-0.3534,13.3,30,0,0,0,6,0,1,7
23,-0.3564,13.3,30,0,0,0,6,0,1,7
24,-0.3594,13.3,30,0,0,0,6,0,1,7
25,-0.3624,13.3,30,0,0,0,6,0,1,7
26,-0.3654,13.3,30,0,0,0,6,0,1,7
27,-0.3684,13.3,30,0,0,0,6,0,1,7
28,-0.3714,13.3,30,0,0,0,6,0,1,7
29,-0.3744,13.3,30,0,0,0,6,0,1,7
30,-0.3774,13.3,30,0,0,0,6,0,1,7
31,-0.3806,13.3,30,0,0,0,6,0,1,7
32,-0.3836,13.3,30,0,0,0,6,0,1,7
33,-0.3866,13.3,30,0,0,0,6,0,1,7
34,-0.3896,13.3,30,0,0,0,6,0,1,7
35,-0.3926,13.3,30,0,0,0,6,0,1,7
36,-0.3956,13.3,30,0,0,0,6,0,1,7
37,-0.3986,13.3,30,0,0,0,6,0,1,7
38,-0.4016,13.3,30,0,0,0,6,0,1,7
39,-0.4046,13.3,30,0,0,0,6,0,1,7
40,-0.4076,13.3,30,0,0,0,6,0,1,7
41,-0.4108,13.3,30,0,0,0,6,0,1,7
42,-0.4138,13.3,30,0,0,0,6,0,1,7
43,-0.4168,13.3,30,0,0,0,6,0,1,7
44,-0.4198,13.3,30,0,0,0,6,0,1,7
45,-0.4228,13.3,30,0,0,0,6,0,1,7
46,-0.4258,13.3,30,0,0,0,6,0,1,7
47,-0.4288,13.3,30,0,0,0,6,0,1,7
48,-0.4318,13.3,30,0,0,0,6,0,1,7
49,-0.4348,13.3,30,0,0,0,6,0,1,7
50,-0.4378,13.3,30,0,0,0,6,0,1,7
