2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.25,13.3,30,0,0,0,6,0,1,7
2,-0.253,13.3,30,0,0,0,6,0,1,7
3,-0.256,13.3,30,0,0,0,6,0,1,7
4,-0.259,13.3,30,0,0,0,6,0,1,7
5,-0.262,13.3,30,0,0,0,6,0,1,7
6,-0.265,13.3,30,0,0,0,6,0,1,7
7,-0.268,13.3,30,0,0,0,6,0,1,7
8,-0.271,13.3,30,0,0,0,6,0,1,7
9,-0.274,13.3,30,0,0,0,6,0,1,7
10,-0.277,13.3,30,0,0,0,6,0,1,7
11,-0.2764,13.3,30,0,0,0,6,0,1,7
12,-0.2794,13.3,30,0,0,0,6,0,1,7
13,-0.2824,13.3,30,0,0,0,6,0,1,7
14,-0.2854,13.3,30,0,0,0,6,0,1,7
15,-0.2884,13.3,30,0,0,0,6,0,1,7
16,-0.2914,13.3,30,0,0,0,6,0,1,7
17,-0.2944,13.3,30,0,0,0,6,0,1,7
18,-0.2974,13.3,30,0,0,0,6,0,1,7
19,-0.3004,13.3,30,0,0,0,6,0,1,7
20,-0.3034,13.3,30,0,0,0,6,0,1,7
21,-0.3028,13.3,30,0,0,0,6,0,1,7
22,-0.3058,13.3,30,0,0,0,6,0,1,7
23,-0.3088,13.3,30,0,0,0,6,0,1,7
24,-0.3118,13.3,30,0,0,0,6,0,1,7
25,-0.3148,13.3,30,0,0,0,6,0,1,7
26,-0.3178,13.3,30,0,0,0,6,0,1,7
27,-0.3208,13.3,30,0,0,0,6,0,1,7
28,-0.3238,13.3,30,0,0,0,6,0,1,7
29,-0.3268,13.3,30,0,0,0,6,0,1,7
30,-0.3298,13.3,30,0,0,0,6,0,1,7
31,-0.3292,13.3,30,0,0,0,6,0,1,7
32,-0.3322,13.3,30,0,0,0,6,0,1,7
33,-0.3352,13.3,30,0,0,0,6,0,1,7
34,-0.3382,13.3,30,0,0,0,6,0,1,7
35,-0.3412,13.3,30,0,0,0,6,0,1,7
36,-0.3442,13.3,30,0,0,0,6,0,1,7
37,-0.3472,13.3,30,0,0,0,6,0,1,7
38,-0.3502,13.3,30,0,0,0,6,0,1,7
39,-0.3532,13.3,30,0,0,0,6,0,1,7
40,-0.3562,13.3,30,0,0,0,6,0,1,7
41,-0.3556,13.3,30,0,0,0,6,0,1,7
42,-0.3586,13.3,30,0,0,0,6,0,1,7
43,-0.3616,13.3,30,0,0,0,6,0,1,7
44,-0.3646,13.3,30,0,0,0,6,0,1,7
45,-0.3676,13.3,30,0,0,0,6,0,1,7
46,-0.3706,13.3,30,0,0,0,6,0,1,7
47,-0.3736,13.3,30,0,0,0,6,0,1,7
48,-0.3766,13.3,30,0,0,0,6,0,1,7
49,-0.3796,13.3,30,0,0,0,6,0,1,7
50,-0.3826,13.3,30,0,0,0,6,0,1,7
