1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,27,10,25,38.5,0,0,0,3,15,0
2,27.77,10,25,38.5,0,0,0,3,15,0
3,28.54,10,25,38.5,0,0,0,3,15,0
4,29.31,10,25,38.5,0,0,0,3,15,0
5,30.08,10,25,38.5,0,0,0,3,15,0
6,30.85,10,25,38.5,0,0,0,3,15,0
7,31.62,10,25,38.5,0,0,0,3,15,0
8,32.39,10,25,38.5,0,0,0,3,15,0
9,33.16,10,25,38.5,0,0,0,3,15,0
10,33.93,10,25,38.5,0,0,0,3,15,0
11,34,10,25,38.5,0,0,0,3,15,0
12,34.66,10,25,38.5,0,0,0,3,15,0
13,35.32,10,25,38.5,0,0,0,3,15,0
14,35.98,10,25,38.5,0,0,0,3,15,0
15,36.64,10,25,38.5,0,0,0,3,15,0
16,37.3,10,25,38.5,0,0,0,3,15,0
17,37.96,10,25,38.5,0,0,0,3,15,0
18,38.62,10,25,38.5,0,0,0,3,15,0
19,39.28,10,25,38.5,0,0,0,3,15,0
20,39.94,10,25,38.5,0,0,0,3,15,0
21,40,10,25,38.5,0,0,0,3,15,0
22,40.77,10,25,38.5,0,0,0,3,15,0
23,41.54,10,25,38.5,0,0,0,3,15,0
24,42.31,10,25,38.5,0,0,0,3,15,0
25,43.08,10,25,38.5,0,0,0,3,15,0
26,43.85,10,25,38.5,0,0,0,3,15,0
27,44.62,10,25,38.5,0,0,0,3,15,0
28,45.39,10,25,38.5,0,0,0,3,15,0
29,46.16,10,25,38.5,0,0,0,3,15,0
30,46.93,10,25,38.5,0,0,0,3,15,0
31,47,10,25,38.5,0,0,0,3,15,0
32,47.77,10,25,38.5,0,0,0,3,15,0
33,48.54,10,25,38.5,0,0,0,3,15,0
34,49.31,10,25,38.5,0,0,0,3,15,0
35,50.08,10,25,38.5,0,0,0,3,15,0
36,50.85,10,25,38.5,0,0,0,3,15,0
37,51.62,10,25,38.5,0,0,0,3,15,0
38,52.39,10,25,38.5,0,0,0,3,15,0
39,53.16,10,25,38.5,0,0,0,3,15,0
40,53.93,10,25,38.5,0,0,0,3,15,0
41,54,10,25,38.5,0,0,0,3,15,0
42,54.44,10,25,38.5,0,0,0,3,15,0
43,54.88,10,25,38.5,0,0,0,3,15,0
44,55.32,10,25,38.5,0,0,0,3,15,0
45,55.76,10,25,38.5,0,0,0,3,15,0
46,56.2,10,25,38.5,0,0,0,3,15,0
47,56.64,10,25,38.5,0,0,0,3,15,0
48,57.08,10,25,38.5,0,0,0,3,15,0
49,57.52,10,25,38.5,0,0,0,3,15,0
50,57.96,10,25,38.5,0,0,0,3,15,0
