1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,300,11.1,12,0,10,2,2.2,0,1,0
2,302.44,11.1,12,0,10,2,2.2,0,1,0
3,304.88,11.1,12,0,10,2,2.2,0,1,0
4,307.32,11.1,12,0,10,2,2.2,0,1,0
5,309.76,11.1,12,0,10,2,2.2,0,1,0
6,312.2,11.1,12,0,10,2,2.2,0,1,0
7,314.64,11.1,12,0,10,2,2.2,0,1,0
8,317.08,11.1,12,0,10,2,2.2,0,1,0
9,319.52,11.1,12,0,10,2,2.2,0,1,0
10,321.96,11.1,12,0,10,2,2.2,0,1,0
11,323,11.1,12,0,10,2,2.2,0,1,0
12,325.44,11.1,12,0,10,2,2.2,0,1,0
13,327.88,11.1,12,0,10,2,2.2,0,1,0
14,330.32,11.1,12,0,10,2,2.2,0,1,0
15,332.76,11.1,12,0,10,2,2.2,0,1,0
16,335.2,11.1,12,0,10,2,2.2,0,1,0
17,337.64,11.1,12,0,10,2,2.2,0,1,0
18,340.08,11.1,12,0,10,2,2.2,0,1,0
19,342.52,11.1,12,0,10,2,2.2,0,1,0
20,344.96,11.1,12,0,10,2,2.2,0,1,0
21,347,11.1,12,0,10,2,2.2,0,1,0
22,349.44,11.1,12,0,10,2,2.2,0,1,0
23,351.88,11.1,12,0,10,2,2.2,0,1,0
24,354.32,11.1,12,0,10,2,2.2,0,1,0
25,356.76,11.1,12,0,10,2,2.2,0,1,0
26,359.2,11.1,12,0,10,2,2.2,0,1,0
27,361.64,11.1,12,0,10,2,2.2,0,1,0
28,364.08,11.1,12,0,10,2,2.2,0,1,0
29,366.52,11.1,12,0,10,2,2.2,0,1,0
30,368.96,11.1,12,0,10,2,2.2,0,1,0
31,371,11.1,12,0,10,2,2.2,0,1,0
32,373.44,11.1,12,0,10,2,2.2,0,1,0
33,375.88,11.1,12,0,10,2,2.2,0,1,0
34,378.32,11.1,12,0,10,2,2.2,0,1,0
35,380.76,11.1,12,0,10,2,2.2,0,1,0
36,383.2,11.1,12,0,10,2,2.2,0,1,0
37,385.64,11.1,12,0,10,2,2.2,0,1,0
38,388.08,11.1,12,0,10,2,2.2,0,1,0
39,390.52,11.1,12,0,10,2,2.2,0,1,0
40,392.96,11.1,12,0,10,2,2.2,0,1,0
41,395,11.1,12,0,10,2,2.2,0,1,0
42,397.55,11.1,12,0,10,2,2.2,0,1,0
43,400.1,11.1,12,0,10,2,2.2,0,1,0
44,402.65,11.1,12,0,10,2,2.2,0,1,0
45,405.2,11.1,12,0,10,2,2.2,0,1,0
46,407.75,11.1,12,0,10,2,2.2,0,1,0
47,410.3,11.1,12,0,10,2,2.2,0,1,0
48,412.85,11.1,12,0,10,2,2.2,0,1,0
49,415.4,11.1,12,0,10,2,2.2,0,1,0
50,417.95,11.1,12,0,10,2,2.2,0,1,0
