1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,369,11.1,12,0,10,2,2.2,0,1,0
2,378.44,11.1,12,0,10,2,2.2,0,1,0
3,387.88,11.1,12,0,10,2,2.2,0,1,0
4,397.32,11.1,12,0,10,2,2.2,0,1,0
5,406.76,11.1,12,0,10,2,2.2,0,1,0
6,416.2,11.1,12,0,10,2,2.2,0,1,0
7,425.64,11.1,12,0,10,2,2.2,0,1,0
8,435.08,11.1,12,0,10,2,2.2,0,1,0
9,444.52,11.1,12,0,10,2,2.2,0,1,0
10,453.96,11.1,12,0,10,2,2.2,0,1,0
11,462,11.1,12,0,10,2,2.2,0,1,0
12,471.44,11.1,12,0,10,2,2.2,0,1,0
13,480.88,11.1,12,0,10,2,2.2,0,1,0
14,490.32,11.1,12,0,10,2,2.2,0,1,0
15,499.76,11.1,12,0,10,2,2.2,0,1,0
16,509.2,11.1,12,0,10,2,2.2,0,1,0
17,518.64,11.1,12,0,10,2,2.2,0,1,0
18,528.08,11.1,12,0,10,2,2.2,0,1,0
19,537.52,11.1,12,0,10,2,2.2,0,1,0
20,546.96,11.1,12,0,10,2,2.2,0,1,0
21,555,11.1,12,0,10,2,2.2,0,1,0
22,564.44,11.1,12,0,10,2,2.2,0,1,0
23,573.88,11.1,12,0,10,2,2.2,0,1,0
24,583.32,11.1,12,0,10,2,2.2,0,1,0
25,592.76,11.1,12,0,10,2,2.2,0,1,0
26,602.2,11.1,12,0,10,2,2.2,0,1,0
27,611.64,11.1,12,0,10,2,2.2,0,1,0
28,621.08,11.1,12,0,10,2,2.2,0,1,0
29,630.52,11.1,12,0,10,2,2.2,0,1,0
30,639.96,11.1,12,0,10,2,2.2,0,1,0
31,648,11.1,12,0,10,2,2.2,0,1,0
32,657.44,11.1,12,0,10,2,2.2,0,1,0
33,666.88,11.1,12,0,10,2,2.2,0,1,0
34,676.32,11.1,12,0,10,2,2.2,0,1,0
35,685.76,11.1,12,0,10,2,2.2,0,1,0
36,695.2,11.1,12,0,10,2,2.2,0,1,0
37,704.64,11.1,12,0,10,2,2.2,0,1,0
38,714.08,11.1,12,0,10,2,2.2,0,1,0
39,723.52,11.1,12,0,10,2,2.2,0,1,0
40,732.96,11.1,12,0,10,2,2.2,0,1,0
41,741,11.1,12,0,10,2,2.2,0,1,0
42,751.66,11.1,12,0,10,2,2.2,0,1,0
43,762.32,11.1,12,0,10,2,2.2,0,1,0
44,772.98,11.1,12,0,10,2,2.2,0,1,0
45,783.64,11.1,12,0,10,2,2.2,0,1,0
46,794.3,11.1,12,0,10,2,2.2,0,1,0
47,804.96,11.1,12,0,10,2,2.2,0,1,0
48,815.62,11.1,12,0,10,2,2.2,0,1,0
49,826.28,11.1,12,0,10,2,2.2,0,1,0
50,836.94,11.1,12,0,10,2,2.2,0,1,0
