1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,313,10,35,0,0,0,3,0,1,0
2,320.88,10,35,0,0,0,3,0,1,0
3,328.76,10,35,0,0,0,3,0,1,0
4,336.64,10,35,0,0,0,3,0,1,0
5,344.52,10,35,0,0,0,3,0,1,0
6,352.4,10,35,0,0,0,3,0,1,0
7,360.28,10,35,0,0,0,3,0,1,0
8,368.16,10,35,0,0,0,3,0,1,0
9,376.04,10,35,0,0,0,3,0,1,0
10,383.92,10,35,0,0,0,3,0,1,0
11,392,10,35,0,0,0,3,0,1,0
12,399.88,10,35,0,0,0,3,0,1,0
13,407.76,10,35,0,0,0,3,0,1,0
14,415.64,10,35,0,0,0,3,0,1,0
15,423.52,10,35,0,0,0,3,0,1,0
16,431.4,10,35,0,0,0,3,0,1,0
17,439.28,10,35,0,0,0,3,0,1,0
18,447.16,10,35,0,0,0,3,0,1,0
19,455.04,10,35,0,0,0,3,0,1,0
20,462.92,10,35,0,0,0,3,0,1,0
21,471,10,35,0,0,0,3,0,1,0
22,478.88,10,35,0,0,0,3,0,1,0
23,486.76,10,35,0,0,0,3,0,1,0
24,494.64,10,35,0,0,0,3,0,1,0
25,502.52,10,35,0,0,0,3,0,1,0
26,510.4,10,35,0,0,0,3,0,1,0
27,518.28,10,35,0,0,0,3,0,1,0
28,526.16,10,35,0,0,0,3,0,1,0
29,534.04,10,35,0,0,0,3,0,1,0
30,541.92,10,35,0,0,0,3,0,1,0
31,550,10,35,0,0,0,3,0,1,0
32,557.88,10,35,0,0,0,3,0,1,0
33,565.76,10,35,0,0,0,3,0,1,0
34,573.64,10,35,0,0,0,3,0,1,0
35,581.52,10,35,0,0,0,3,0,1,0
36,589.4,10,35,0,0,0,3,0,1,0
37,597.28,10,35,0,0,0,3,0,1,0
38,605.16,10,35,0,0,0,3,0,1,0
39,613.04,10,35,0,0,0,3,0,1,0
40,620.92,10,35,0,0,0,3,0,1,0
41,628,10,35,0,0,0,3,0,1,0
42,636.88,10,35,0,0,0,3,0,1,0
43,645.76,10,35,0,0,0,3,0,1,0
44,654.64,10,35,0,0,0,3,0,1,0
45,663.52,10,35,0,0,0,3,0,1,0
46,672.4,10,35,0,0,0,3,0,1,0
47,681.28,10,35,0,0,0,3,0,1,0
48,690.16,10,35,0,0,0,3,0,1,0
49,699.04,10,35,0,0,0,3,0,1,0
50,707.92,10,35,0,0,0,3,0,1,0
