1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,588,10,35,0,0,0,3,0,1,0
2,593.22,10,35,0,0,0,3,0,1,0
3,598.44,10,35,0,0,0,3,0,1,0
4,603.66,10,35,0,0,0,3,0,1,0
5,608.88,10,35,0,0,0,3,0,1,0
6,614.1,10,35,0,0,0,3,0,1,0
7,619.32,10,35,0,0,0,3,0,1,0
8,624.54,10,35,0,0,0,3,0,1,0
9,629.76,10,35,0,0,0,3,0,1,0
10,634.98,10,35,0,0,0,3,0,1,0
11,640,10,35,0,0,0,3,0,1,0
12,645.22,10,35,0,0,0,3,0,1,0
13,650.44,10,35,0,0,0,3,0,1,0
14,655.66,10,35,0,0,0,3,0,1,0
15,660.88,10,35,0,0,0,3,0,1,0
16,666.1,10,35,0,0,0,3,0,1,0
17,671.32,10,35,0,0,0,3,0,1,0
18,676.54,10,35,0,0,0,3,0,1,0
19,681.76,10,35,0,0,0,3,0,1,0
20,686.98,10,35,0,0,0,3,0,1,0
21,692,10,35,0,0,0,3,0,1,0
22,697.33,10,35,0,0,0,3,0,1,0
23,702.66,10,35,0,0,0,3,0,1,0
24,707.99,10,35,0,0,0,3,0,1,0
25,713.32,10,35,0,0,0,3,0,1,0
26,718.65,10,35,0,0,0,3,0,1,0
27,723.98,10,35,0,0,0,3,0,1,0
28,729.31,10,35,0,0,0,3,0,1,0
29,734.64,10,35,0,0,0,3,0,1,0
30,739.97,10,35,0,0,0,3,0,1,0
31,744,10,35,0,0,0,3,0,1,0
32,749.33,10,35,0,0,0,3,0,1,0
33,754.66,10,35,0,0,0,3,0,1,0
34,759.99,10,35,0,0,0,3,0,1,0
35,765.32,10,35,0,0,0,3,0,1,0
36,770.65,10,35,0,0,0,3,0,1,0
37,775.98,10,35,0,0,0,3,0,1,0
38,781.31,10,35,0,0,0,3,0,1,0
39,786.64,10,35,0,0,0,3,0,1,0
40,791.97,10,35,0,0,0,3,0,1,0
41,797,10,35,0,0,0,3,0,1,0
42,803,10,35,0,0,0,3,0,1,0
43,809,10,35,0,0,0,3,0,1,0
44,815,10,35,0,0,0,3,0,1,0
45,821,10,35,0,0,0,3,0,1,0
46,827,10,35,0,0,0,3,0,1,0
47,833,10,35,0,0,0,3,0,1,0
48,839,10,35,0,0,0,3,0,1,0
49,845,10,35,0,0,0,3,0,1,0
50,851,10,35,0,0,0,3,0,1,0
