1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,286,10,35,0,0,0,3,0,1,0
2,292,10,35,0,0,0,3,0,1,0
3,298,10,35,0,0,0,3,0,1,0
4,304,10,35,0,0,0,3,0,1,0
5,310,10,35,0,0,0,3,0,1,0
6,316,10,35,0,0,0,3,0,1,0
7,322,10,35,0,0,0,3,0,1,0
8,328,10,35,0,0,0,3,0,1,0
9,334,10,35,0,0,0,3,0,1,0
10,340,10,35,0,0,0,3,0,1,0
11,345,10,35,0,0,0,3,0,1,0
12,351,10,35,0,0,0,3,0,1,0
13,357,10,35,0,0,0,3,0,1,0
14,363,10,35,0,0,0,3,0,1,0
15,369,10,35,0,0,0,3,0,1,0
16,375,10,35,0,0,0,3,0,1,0
17,381,10,35,0,0,0,3,0,1,0
18,387,10,35,0,0,0,3,0,1,0
19,393,10,35,0,0,0,3,0,1,0
20,399,10,35,0,0,0,3,0,1,0
21,404,10,35,0,0,0,3,0,1,0
22,409.88,10,35,0,0,0,3,0,1,0
23,415.76,10,35,0,0,0,3,0,1,0
24,421.64,10,35,0,0,0,3,0,1,0
25,427.52,10,35,0,0,0,3,0,1,0
26,433.4,10,35,0,0,0,3,0,1,0
27,439.28,10,35,0,0,0,3,0,1,0
28,445.16,10,35,0,0,0,3,0,1,0
29,451.04,10,35,0,0,0,3,0,1,0
30,456.92,10,35,0,0,0,3,0,1,0
31,463,10,35,0,0,0,3,0,1,0
32,468.88,10,35,0,0,0,3,0,1,0
33,474.76,10,35,0,0,0,3,0,1,0
34,480.64,10,35,0,0,0,3,0,1,0
35,486.52,10,35,0,0,0,3,0,1,0
36,492.4,10,35,0,0,0,3,0,1,0
37,498.28,10,35,0,0,0,3,0,1,0
38,504.16,10,35,0,0,0,3,0,1,0
39,510.04,10,35,0,0,0,3,0,1,0
40,515.92,10,35,0,0,0,3,0,1,0
41,522,10,35,0,0,0,3,0,1,0
42,528.55,10,35,0,0,0,3,0,1,0
43,535.1,10,35,0,0,0,3,0,1,0
44,541.65,10,35,0,0,0,3,0,1,0
45,548.2,10,35,0,0,0,3,0,1,0
46,554.75,10,35,0,0,0,3,0,1,0
47,561.3,10,35,0,0,0,3,0,1,0
48,567.85,10,35,0,0,0,3,0,1,0
49,574.4,10,35,0,0,0,3,0,1,0
50,580.95,10,35,0,0,0,3,0,1,0
