1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1536,15,7,0,0,0,2,0,1,0
2,1549.77,15,7,0,0,0,2,0,1,0
3,1563.54,15,7,0,0,0,2,0,1,0
4,1577.31,15,7,0,0,0,2,0,1,0
5,1591.08,15,7,0,0,0,2,0,1,0
6,1604.85,15,7,0,0,0,2,0,1,0
7,1618.62,15,7,0,0,0,2,0,1,0
8,1632.39,15,7,0,0,0,2,0,1,0
9,1646.16,15,7,0,0,0,2,0,1,0
10,1659.93,15,7,0,0,0,2,0,1,0
11,1673,15,7,0,0,0,2,0,1,0
12,1686.88,15,7,0,0,0,2,0,1,0
13,1700.76,15,7,0,0,0,2,0,1,0
14,1714.64,15,7,0,0,0,2,0,1,0
15,1728.52,15,7,0,0,0,2,0,1,0
16,1742.4,15,7,0,0,0,2,0,1,0
17,1756.28,15,7,0,0,0,2,0,1,0
18,1770.16,15,7,0,0,0,2,0,1,0
19,1784.04,15,7,0,0,0,2,0,1,0
20,1797.92,15,7,0,0,0,2,0,1,0
21,1811,15,7,0,0,0,2,0,1,0
22,1824.88,15,7,0,0,0,2,0,1,0
23,1838.76,15,7,0,0,0,2,0,1,0
24,1852.64,15,7,0,0,0,2,0,1,0
25,1866.52,15,7,0,0,0,2,0,1,0
26,1880.4,15,7,0,0,0,2,0,1,0
27,1894.28,15,7,0,0,0,2,0,1,0
28,1908.16,15,7,0,0,0,2,0,1,0
29,1922.04,15,7,0,0,0,2,0,1,0
30,1935.92,15,7,0,0,0,2,0,1,0
31,1949,15,7,0,0,0,2,0,1,0
32,1962.77,15,7,0,0,0,2,0,1,0
33,1976.54,15,7,0,0,0,2,0,1,0
34,1990.31,15,7,0,0,0,2,0,1,0
35,2004.08,15,7,0,0,0,2,0,1,0
36,2017.85,15,7,0,0,0,2,0,1,0
37,2031.62,15,7,0,0,0,2,0,1,0
38,2045.39,15,7,0,0,0,2,0,1,0
39,2059.16,15,7,0,0,0,2,0,1,0
40,2072.93,15,7,0,0,0,2,0,1,0
41,2087,15,7,0,0,0,2,0,1,0
42,2102.11,15,7,0,0,0,2,0,1,0
43,2117.22,15,7,0,0,0,2,0,1,0
44,2132.33,15,7,0,0,0,2,0,1,0
45,2147.44,15,7,0,0,0,2,0,1,0
46,2162.55,15,7,0,0,0,2,0,1,0
47,2177.66,15,7,0,0,0,2,0,1,0
48,2192.77,15,7,0,0,0,2,0,1,0
49,2207.88,15,7,0,0,0,2,0,1,0
50,2222.99,15,7,0,0,0,2,0,1,0
