2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,154,12.8,30,0,0,0,1.5,10,5,0
2,158,12.8,30,0,0,0,1.5,10,5,0
3,162,12.8,30,0,0,0,1.5,10,5,0
4,166,12.8,30,0,0,0,1.5,10,5,0
5,170,12.8,30,0,0,0,1.5,10,5,0
6,174,12.8,30,0,0,0,1.5,10,5,0
7,178,12.8,30,0,0,0,1.5,10,5,0
8,182,12.8,30,0,0,0,1.5,10,5,0
9,186,12.8,30,0,0,0,1.5,10,5,0
10,190,12.8,30,0,0,0,1.5,10,5,0
11,193,12.8,30,0,0,0,1.5,10,5,0
12,196.88,12.8,30,0,0,0,1.5,10,5,0
13,200.76,12.8,30,0,0,0,1.5,10,5,0
14,204.64,12.8,30,0,0,0,1.5,10,5,0
15,208.52,12.8,30,0,0,0,1.5,10,5,0
16,212.4,12.8,30,0,0,0,1.5,10,5,0
17,216.28,12.8,30,0,0,0,1.5,10,5,0
18,220.16,12.8,30,0,0,0,1.5,10,5,0
19,224.04,12.8,30,0,0,0,1.5,10,5,0
20,227.92,12.8,30,0,0,0,1.5,10,5,0
21,232,12.8,30,0,0,0,1.5,10,5,0
22,235.88,12.8,30,0,0,0,1.5,10,5,0
23,239.76,12.8,30,0,0,0,1.5,10,5,0
24,243.64,12.8,30,0,0,0,1.5,10,5,0
25,247.52,12.8,30,0,0,0,1.5,10,5,0
26,251.4,12.8,30,0,0,0,1.5,10,5,0
27,255.28,12.8,30,0,0,0,1.5,10,5,0
28,259.16,12.8,30,0,0,0,1.5,10,5,0
29,263.04,12.8,30,0,0,0,1.5,10,5,0
30,266.92,12.8,30,0,0,0,1.5,10,5,0
31,271,12.8,30,0,0,0,1.5,10,5,0
32,274.88,12.8,30,0,0,0,1.5,10,5,0
33,278.76,12.8,30,0,0,0,1.5,10,5,0
34,282.64,12.8,30,0,0,0,1.5,10,5,0
35,286.52,12.8,30,0,0,0,1.5,10,5,0
36,290.4,12.8,30,0,0,0,1.5,10,5,0
37,294.28,12.8,30,0,0,0,1.5,10,5,0
38,298.16,12.8,30,0,0,0,1.5,10,5,0
39,302.04,12.8,30,0,0,0,1.5,10,5,0
40,305.92,12.8,30,0,0,0,1.5,10,5,0
41,310,12.8,30,0,0,0,1.5,10,5,0
42,314.33,12.8,30,0,0,0,1.5,10,5,0
43,318.66,12.8,30,0,0,0,1.5,10,5,0
44,322.99,12.8,30,0,0,0,1.5,10,5,0
45,327.32,12.8,30,0,0,0,1.5,10,5,0
46,331.65,12.8,30,0,0,0,1.5,10,5,0
47,335.98,12.8,30,0,0,0,1.5,10,5,0
48,340.31,12.8,30,0,0,0,1.5,10,5,0
49,344.64,12.8,30,0,0,0,1.5,10,5,0
50,348.97,12.8,30,0,0,0,1.5,10,5,0
