2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,289,12.8,30,0,0,0,1.5,10,5,0
2,291.66,12.8,30,0,0,0,1.5,10,5,0
3,294.32,12.8,30,0,0,0,1.5,10,5,0
4,296.98,12.8,30,0,0,0,1.5,10,5,0
5,299.64,12.8,30,0,0,0,1.5,10,5,0
6,302.3,12.8,30,0,0,0,1.5,10,5,0
7,304.96,12.8,30,0,0,0,1.5,10,5,0
8,307.62,12.8,30,0,0,0,1.5,10,5,0
9,310.28,12.8,30,0,0,0,1.5,10,5,0
10,312.94,12.8,30,0,0,0,1.5,10,5,0
11,315,12.8,30,0,0,0,1.5,10,5,0
12,317.66,12.8,30,0,0,0,1.5,10,5,0
13,320.32,12.8,30,0,0,0,1.5,10,5,0
14,322.98,12.8,30,0,0,0,1.5,10,5,0
15,325.64,12.8,30,0,0,0,1.5,10,5,0
16,328.3,12.8,30,0,0,0,1.5,10,5,0
17,330.96,12.8,30,0,0,0,1.5,10,5,0
18,333.62,12.8,30,0,0,0,1.5,10,5,0
19,336.28,12.8,30,0,0,0,1.5,10,5,0
20,338.94,12.8,30,0,0,0,1.5,10,5,0
21,341,12.8,30,0,0,0,1.5,10,5,0
22,343.55,12.8,30,0,0,0,1.5,10,5,0
23,346.1,12.8,30,0,0,0,1.5,10,5,0
24,348.65,12.8,30,0,0,0,1.5,10,5,0
25,351.2,12.8,30,0,0,0,1.5,10,5,0
26,353.75,12.8,30,0,0,0,1.5,10,5,0
27,356.3,12.8,30,0,0,0,1.5,10,5,0
28,358.85,12.8,30,0,0,0,1.5,10,5,0
29,361.4,12.8,30,0,0,0,1.5,10,5,0
30,363.95,12.8,30,0,0,0,1.5,10,5,0
31,366,12.8,30,0,0,0,1.5,10,5,0
32,368.66,12.8,30,0,0,0,1.5,10,5,0
33,371.32,12.8,30,0,0,0,1.5,10,5,0
34,373.98,12.8,30,0,0,0,1.5,10,5,0
35,376.64,12.8,30,0,0,0,1.5,10,5,0
36,379.3,12.8,30,0,0,0,1.5,10,5,0
37,381.96,12.8,30,0,0,0,1.5,10,5,0
38,384.62,12.8,30,0,0,0,1.5,10,5,0
39,387.28,12.8,30,0,0,0,1.5,10,5,0
40,389.94,12.8,30,0,0,0,1.5,10,5,0
41,392,12.8,30,0,0,0,1.5,10,5,0
42,394.88,12.8,30,0,0,0,1.5,10,5,0
43,397.76,12.8,30,0,0,0,1.5,10,5,0
44,400.64,12.8,30,0,0,0,1.5,10,5,0
45,403.52,12.8,30,0,0,0,1.5,10,5,0
46,406.4,12.8,30,0,0,0,1.5,10,5,0
47,409.28,12.8,30,0,0,0,1.5,10,5,0
48,412.16,12.8,30,0,0,0,1.5,10,5,0
49,415.04,12.8,30,0,0,0,1.5,10,5,0
50,417.92,12.8,30,0,0,0,1.5,10,5,0
