2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,141,12.8,30,0,0,0,1.5,10,5,0
2,144,12.8,30,0,0,0,1.5,10,5,0
3,147,12.8,30,0,0,0,1.5,10,5,0
4,150,12.8,30,0,0,0,1.5,10,5,0
5,153,12.8,30,0,0,0,1.5,10,5,0
6,156,12.8,30,0,0,0,1.5,10,5,0
7,159,12.8,30,0,0,0,1.5,10,5,0
8,162,12.8,30,0,0,0,1.5,10,5,0
9,165,12.8,30,0,0,0,1.5,10,5,0
10,168,12.8,30,0,0,0,1.5,10,5,0
11,171,12.8,30,0,0,0,1.5,10,5,0
12,173.88,12.8,30,0,0,0,1.5,10,5,0
13,176.76,12.8,30,0,0,0,1.5,10,5,0
14,179.64,12.8,30,0,0,0,1.5,10,5,0
15,182.52,12.8,30,0,0,0,1.5,10,5,0
16,185.4,12.8,30,0,0,0,1.5,10,5,0
17,188.28,12.8,30,0,0,0,1.5,10,5,0
18,191.16,12.8,30,0,0,0,1.5,10,5,0
19,194.04,12.8,30,0,0,0,1.5,10,5,0
20,196.92,12.8,30,0,0,0,1.5,10,5,0
21,200,12.8,30,0,0,0,1.5,10,5,0
22,203,12.8,30,0,0,0,1.5,10,5,0
23,206,12.8,30,0,0,0,1.5,10,5,0
24,209,12.8,30,0,0,0,1.5,10,5,0
25,212,12.8,30,0,0,0,1.5,10,5,0
26,215,12.8,30,0,0,0,1.5,10,5,0
27,218,12.8,30,0,0,0,1.5,10,5,0
28,221,12.8,30,0,0,0,1.5,10,5,0
29,224,12.8,30,0,0,0,1.5,10,5,0
30,227,12.8,30,0,0,0,1.5,10,5,0
31,229,12.8,30,0,0,0,1.5,10,5,0
32,232,12.8,30,0,0,0,1.5,10,5,0
33,235,12.8,30,0,0,0,1.5,10,5,0
34,238,12.8,30,0,0,0,1.5,10,5,0
35,241,12.8,30,0,0,0,1.5,10,5,0
36,244,12.8,30,0,0,0,1.5,10,5,0
37,247,12.8,30,0,0,0,1.5,10,5,0
38,250,12.8,30,0,0,0,1.5,10,5,0
39,253,12.8,30,0,0,0,1.5,10,5,0
40,256,12.8,30,0,0,0,1.5,10,5,0
41,259,12.8,30,0,0,0,1.5,10,5,0
42,262,12.8,30,0,0,0,1.5,10,5,0
43,265,12.8,30,0,0,0,1.5,10,5,0
44,268,12.8,30,0,0,0,1.5,10,5,0
45,271,12.8,30,0,0,0,1.5,10,5,0
46,274,12.8,30,0,0,0,1.5,10,5,0
47,277,12.8,30,0,0,0,1.5,10,5,0
48,280,12.8,30,0,0,0,1.5,10,5,0
49,283,12.8,30,0,0,0,1.5,10,5,0
50,286,12.8,30,0,0,0,1.5,10,5,0
