2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,133,12.8,30,0,0,0,1.5,10,5,0
2,135.11,12.8,30,0,0,0,1.5,10,5,0
3,137.22,12.8,30,0,0,0,1.5,10,5,0
4,139.33,12.8,30,0,0,0,1.5,10,5,0
5,141.44,12.8,30,0,0,0,1.5,10,5,0
6,143.55,12.8,30,0,0,0,1.5,10,5,0
7,145.66,12.8,30,0,0,0,1.5,10,5,0
8,147.77,12.8,30,0,0,0,1.5,10,5,0
9,149.88,12.8,30,0,0,0,1.5,10,5,0
10,151.99,12.8,30,0,0,0,1.5,10,5,0
11,153,12.8,30,0,0,0,1.5,10,5,0
12,155,12.8,30,0,0,0,1.5,10,5,0
13,157,12.8,30,0,0,0,1.5,10,5,0
14,159,12.8,30,0,0,0,1.5,10,5,0
15,161,12.8,30,0,0,0,1.5,10,5,0
16,163,12.8,30,0,0,0,1.5,10,5,0
17,165,12.8,30,0,0,0,1.5,10,5,0
18,167,12.8,30,0,0,0,1.5,10,5,0
19,169,12.8,30,0,0,0,1.5,10,5,0
20,171,12.8,30,0,0,0,1.5,10,5,0
21,173,12.8,30,0,0,0,1.5,10,5,0
22,175,12.8,30,0,0,0,1.5,10,5,0
23,177,12.8,30,0,0,0,1.5,10,5,0
24,179,12.8,30,0,0,0,1.5,10,5,0
25,181,12.8,30,0,0,0,1.5,10,5,0
26,183,12.8,30,0,0,0,1.5,10,5,0
27,185,12.8,30,0,0,0,1.5,10,5,0
28,187,12.8,30,0,0,0,1.5,10,5,0
29,189,12.8,30,0,0,0,1.5,10,5,0
30,191,12.8,30,0,0,0,1.5,10,5,0
31,193,12.8,30,0,0,0,1.5,10,5,0
32,195,12.8,30,0,0,0,1.5,10,5,0
33,197,12.8,30,0,0,0,1.5,10,5,0
34,199,12.8,30,0,0,0,1.5,10,5,0
35,201,12.8,30,0,0,0,1.5,10,5,0
36,203,12.8,30,0,0,0,1.5,10,5,0
37,205,12.8,30,0,0,0,1.5,10,5,0
38,207,12.8,30,0,0,0,1.5,10,5,0
39,209,12.8,30,0,0,0,1.5,10,5,0
40,211,12.8,30,0,0,0,1.5,10,5,0
41,213,12.8,30,0,0,0,1.5,10,5,0
42,215.44,12.8,30,0,0,0,1.5,10,5,0
43,217.88,12.8,30,0,0,0,1.5,10,5,0
44,220.32,12.8,30,0,0,0,1.5,10,5,0
45,222.76,12.8,30,0,0,0,1.5,10,5,0
46,225.2,12.8,30,0,0,0,1.5,10,5,0
47,227.64,12.8,30,0,0,0,1.5,10,5,0
48,230.08,12.8,30,0,0,0,1.5,10,5,0
49,232.52,12.8,30,0,0,0,1.5,10,5,0
50,234.96,12.8,30,0,0,0,1.5,10,5,0
