2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,72,12.8,30,0,0,0,1.5,15,9,0
2,72.55,12.8,30,0,0,0,1.5,15,9,0
3,73.1,12.8,30,0,0,0,1.5,15,9,0
4,73.65,12.8,30,0,0,0,1.5,15,9,0
5,74.2,12.8,30,0,0,0,1.5,15,9,0
6,74.75,12.8,30,0,0,0,1.5,15,9,0
7,75.3,12.8,30,0,0,0,1.5,15,9,0
8,75.85,12.8,30,0,0,0,1.5,15,9,0
9,76.4,12.8,30,0,0,0,1.5,15,9,0
10,76.95,12.8,30,0,0,0,1.5,15,9,0
11,77,12.8,30,0,0,0,1.5,15,9,0
12,77.66,12.8,30,0,0,0,1.5,15,9,0
13,78.32,12.8,30,0,0,0,1.5,15,9,0
14,78.98,12.8,30,0,0,0,1.5,15,9,0
15,79.64,12.8,30,0,0,0,1.5,15,9,0
16,80.3,12.8,30,0,0,0,1.5,15,9,0
17,80.96,12.8,30,0,0,0,1.5,15,9,0
18,81.62,12.8,30,0,0,0,1.5,15,9,0
19,82.28,12.8,30,0,0,0,1.5,15,9,0
20,82.94,12.8,30,0,0,0,1.5,15,9,0
21,83,12.8,30,0,0,0,1.5,15,9,0
22,83.66,12.8,30,0,0,0,1.5,15,9,0
23,84.32,12.8,30,0,0,0,1.5,15,9,0
24,84.98,12.8,30,0,0,0,1.5,15,9,0
25,85.64,12.8,30,0,0,0,1.5,15,9,0
26,86.3,12.8,30,0,0,0,1.5,15,9,0
27,86.96,12.8,30,0,0,0,1.5,15,9,0
28,87.62,12.8,30,0,0,0,1.5,15,9,0
29,88.28,12.8,30,0,0,0,1.5,15,9,0
30,88.94,12.8,30,0,0,0,1.5,15,9,0
31,89,12.8,30,0,0,0,1.5,15,9,0
32,89.66,12.8,30,0,0,0,1.5,15,9,0
33,90.32,12.8,30,0,0,0,1.5,15,9,0
34,90.98,12.8,30,0,0,0,1.5,15,9,0
35,91.64,12.8,30,0,0,0,1.5,15,9,0
36,92.3,12.8,30,0,0,0,1.5,15,9,0
37,92.96,12.8,30,0,0,0,1.5,15,9,0
38,93.62,12.8,30,0,0,0,1.5,15,9,0
39,94.28,12.8,30,0,0,0,1.5,15,9,0
40,94.94,12.8,30,0,0,0,1.5,15,9,0
41,95,12.8,30,0,0,0,1.5,15,9,0
42,95.55,12.8,30,0,0,0,1.5,15,9,0
43,96.1,12.8,30,0,0,0,1.5,15,9,0
44,96.65,12.8,30,0,0,0,1.5,15,9,0
45,97.2,12.8,30,0,0,0,1.5,15,9,0
46,97.75,12.8,30,0,0,0,1.5,15,9,0
47,98.3,12.8,30,0,0,0,1.5,15,9,0
48,98.85,12.8,30,0,0,0,1.5,15,9,0
49,99.4,12.8,30,0,0,0,1.5,15,9,0
50,99.95,12.8,30,0,0,0,1.5,15,9,0
