2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,165,12.8,30,0,0,0,1.5,15,9,0
2,166.44,12.8,30,0,0,0,1.5,15,9,0
3,167.88,12.8,30,0,0,0,1.5,15,9,0
4,169.32,12.8,30,0,0,0,1.5,15,9,0
5,170.76,12.8,30,0,0,0,1.5,15,9,0
6,172.2,12.8,30,0,0,0,1.5,15,9,0
7,173.64,12.8,30,0,0,0,1.5,15,9,0
8,175.08,12.8,30,0,0,0,1.5,15,9,0
9,176.52,12.8,30,0,0,0,1.5,15,9,0
10,177.96,12.8,30,0,0,0,1.5,15,9,0
11,179,12.8,30,0,0,0,1.5,15,9,0
12,180.44,12.8,30,0,0,0,1.5,15,9,0
13,181.88,12.8,30,0,0,0,1.5,15,9,0
14,183.32,12.8,30,0,0,0,1.5,15,9,0
15,184.76,12.8,30,0,0,0,1.5,15,9,0
16,186.2,12.8,30,0,0,0,1.5,15,9,0
17,187.64,12.8,30,0,0,0,1.5,15,9,0
18,189.08,12.8,30,0,0,0,1.5,15,9,0
19,190.52,12.8,30,0,0,0,1.5,15,9,0
20,191.96,12.8,30,0,0,0,1.5,15,9,0
21,193,12.8,30,0,0,0,1.5,15,9,0
22,194.55,12.8,30,0,0,0,1.5,15,9,0
23,196.1,12.8,30,0,0,0,1.5,15,9,0
24,197.65,12.8,30,0,0,0,1.5,15,9,0
25,199.2,12.8,30,0,0,0,1.5,15,9,0
26,200.75,12.8,30,0,0,0,1.5,15,9,0
27,202.3,12.8,30,0,0,0,1.5,15,9,0
28,203.85,12.8,30,0,0,0,1.5,15,9,0
29,205.4,12.8,30,0,0,0,1.5,15,9,0
30,206.95,12.8,30,0,0,0,1.5,15,9,0
31,208,12.8,30,0,0,0,1.5,15,9,0
32,209.44,12.8,30,0,0,0,1.5,15,9,0
33,210.88,12.8,30,0,0,0,1.5,15,9,0
34,212.32,12.8,30,0,0,0,1.5,15,9,0
35,213.76,12.8,30,0,0,0,1.5,15,9,0
36,215.2,12.8,30,0,0,0,1.5,15,9,0
37,216.64,12.8,30,0,0,0,1.5,15,9,0
38,218.08,12.8,30,0,0,0,1.5,15,9,0
39,219.52,12.8,30,0,0,0,1.5,15,9,0
40,220.96,12.8,30,0,0,0,1.5,15,9,0
41,222,12.8,30,0,0,0,1.5,15,9,0
42,223.77,12.8,30,0,0,0,1.5,15,9,0
43,225.54,12.8,30,0,0,0,1.5,15,9,0
44,227.31,12.8,30,0,0,0,1.5,15,9,0
45,229.08,12.8,30,0,0,0,1.5,15,9,0
46,230.85,12.8,30,0,0,0,1.5,15,9,0
47,232.62,12.8,30,0,0,0,1.5,15,9,0
48,234.39,12.8,30,0,0,0,1.5,15,9,0
49,236.16,12.8,30,0,0,0,1.5,15,9,0
50,237.93,12.8,30,0,0,0,1.5,15,9,0
