2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,37,13.3,22,0,0,0,4,0,1,20
2,37.33,13.3,22,0,0,0,4,0,1,20
3,37.66,13.3,22,0,0,0,4,0,1,20
4,37.99,13.3,22,0,0,0,4,0,1,20
5,38.32,13.3,22,0,0,0,4,0,1,20
6,38.65,13.3,22,0,0,0,4,0,1,20
7,38.98,13.3,22,0,0,0,4,0,1,20
8,39.31,13.3,22,0,0,0,4,0,1,20
9,39.64,13.3,22,0,0,0,4,0,1,20
10,39.97,13.3,22,0,0,0,4,0,1,20
11,40,13.3,22,0,0,0,4,0,1,20
12,40.44,13.3,22,0,0,0,4,0,1,20
13,40.88,13.3,22,0,0,0,4,0,1,20
14,41.32,13.3,22,0,0,0,4,0,1,20
15,41.76,13.3,22,0,0,0,4,0,1,20
16,42.2,13.3,22,0,0,0,4,0,1,20
17,42.64,13.3,22,0,0,0,4,0,1,20
18,43.08,13.3,22,0,0,0,4,0,1,20
19,43.52,13.3,22,0,0,0,4,0,1,20
20,43.96,13.3,22,0,0,0,4,0,1,20
21,44,13.3,22,0,0,0,4,0,1,20
22,44.44,13.3,22,0,0,0,4,0,1,20
23,44.88,13.3,22,0,0,0,4,0,1,20
24,45.32,13.3,22,0,0,0,4,0,1,20
25,45.76,13.3,22,0,0,0,4,0,1,20
26,46.2,13.3,22,0,0,0,4,0,1,20
27,46.64,13.3,22,0,0,0,4,0,1,20
28,47.08,13.3,22,0,0,0,4,0,1,20
29,47.52,13.3,22,0,0,0,4,0,1,20
30,47.96,13.3,22,0,0,0,4,0,1,20
31,48,13.3,22,0,0,0,4,0,1,20
32,48.44,13.3,22,0,0,0,4,0,1,20
33,48.88,13.3,22,0,0,0,4,0,1,20
34,49.32,13.3,22,0,0,0,4,0,1,20
35,49.76,13.3,22,0,0,0,4,0,1,20
36,50.2,13.3,22,0,0,0,4,0,1,20
37,50.64,13.3,22,0,0,0,4,0,1,20
38,51.08,13.3,22,0,0,0,4,0,1,20
39,51.52,13.3,22,0,0,0,4,0,1,20
40,51.96,13.3,22,0,0,0,4,0,1,20
41,52,13.3,22,0,0,0,4,0,1,20
42,52.44,13.3,22,0,0,0,4,0,1,20
43,52.88,13.3,22,0,0,0,4,0,1,20
44,53.32,13.3,22,0,0,0,4,0,1,20
45,53.76,13.3,22,0,0,0,4,0,1,20
46,54.2,13.3,22,0,0,0,4,0,1,20
47,54.64,13.3,22,0,0,0,4,0,1,20
48,55.08,13.3,22,0,0,0,4,0,1,20
49,55.52,13.3,22,0,0,0,4,0,1,20
50,55.96,13.3,22,0,0,0,4,0,1,20
