1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1.552,12,0,0,0,0,0,0,1,1
2,1.582,12,0,0,0,0,0,0,1,1
3,1.612,12,0,0,0,0,0,0,1,1
4,1.642,12,0,0,0,0,0,0,1,1
5,1.672,12,0,0,0,0,0,0,1,1
6,1.702,12,0,0,0,0,0,0,1,1
7,1.732,12,0,0,0,0,0,0,1,1
8,1.762,12,0,0,0,0,0,0,1,1
9,1.792,12,0,0,0,0,0,0,1,1
10,1.822,12,0,0,0,0,0,0,1,1
11,1.815,12,0,0,0,0,0,0,1,1
12,1.845,12,0,0,0,0,0,0,1,1
13,1.875,12,0,0,0,0,0,0,1,1
14,1.905,12,0,0,0,0,0,0,1,1
15,1.935,12,0,0,0,0,0,0,1,1
16,1.965,12,0,0,0,0,0,0,1,1
17,1.995,12,0,0,0,0,0,0,1,1
18,2.025,12,0,0,0,0,0,0,1,1
19,2.055,12,0,0,0,0,0,0,1,1
20,2.085,12,0,0,0,0,0,0,1,1
21,2.079,12,0,0,0,0,0,0,1,1
22,2.109,12,0,0,0,0,0,0,1,1
23,2.139,12,0,0,0,0,0,0,1,1
24,2.169,12,0,0,0,0,0,0,1,1
25,2.199,12,0,0,0,0,0,0,1,1
26,2.229,12,0,0,0,0,0,0,1,1
27,2.259,12,0,0,0,0,0,0,1,1
28,2.289,12,0,0,0,0,0,0,1,1
29,2.319,12,0,0,0,0,0,0,1,1
30,2.349,12,0,0,0,0,0,0,1,1
31,2.343,12,0,0,0,0,0,0,1,1
32,2.373,12,0,0,0,0,0,0,1,1
33,2.403,12,0,0,0,0,0,0,1,1
34,2.433,12,0,0,0,0,0,0,1,1
35,2.463,12,0,0,0,0,0,0,1,1
36,2.493,12,0,0,0,0,0,0,1,1
37,2.523,12,0,0,0,0,0,0,1,1
38,2.553,12,0,0,0,0,0,0,1,1
39,2.583,12,0,0,0,0,0,0,1,1
40,2.613,12,0,0,0,0,0,0,1,1
41,2.606,12,0,0,0,0,0,0,1,1
42,2.636,12,0,0,0,0,0,0,1,1
43,2.666,12,0,0,0,0,0,0,1,1
44,2.696,12,0,0,0,0,0,0,1,1
45,2.726,12,0,0,0,0,0,0,1,1
46,2.756,12,0,0,0,0,0,0,1,1
47,2.786,12,0,0,0,0,0,0,1,1
48,2.816,12,0,0,0,0,0,0,1,1
49,2.846,12,0,0,0,0,0,0,1,1
50,2.876,12,0,0,0,0,0,0,1,1
