1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,3.1,12,0,0,0,0,0,0,1,1
2,3.13,12,0,0,0,0,0,0,1,1
3,3.16,12,0,0,0,0,0,0,1,1
4,3.19,12,0,0,0,0,0,0,1,1
5,3.22,12,0,0,0,0,0,0,1,1
6,3.25,12,0,0,0,0,0,0,1,1
7,3.28,12,0,0,0,0,0,0,1,1
8,3.31,12,0,0,0,0,0,0,1,1
9,3.34,12,0,0,0,0,0,0,1,1
10,3.37,12,0,0,0,0,0,0,1,1
11,3.426,12,0,0,0,0,0,0,1,1
12,3.456,12,0,0,0,0,0,0,1,1
13,3.486,12,0,0,0,0,0,0,1,1
14,3.516,12,0,0,0,0,0,0,1,1
15,3.546,12,0,0,0,0,0,0,1,1
16,3.576,12,0,0,0,0,0,0,1,1
17,3.606,12,0,0,0,0,0,0,1,1
18,3.636,12,0,0,0,0,0,0,1,1
19,3.666,12,0,0,0,0,0,0,1,1
20,3.696,12,0,0,0,0,0,0,1,1
21,3.752,12,0,0,0,0,0,0,1,1
22,3.782,12,0,0,0,0,0,0,1,1
23,3.812,12,0,0,0,0,0,0,1,1
24,3.842,12,0,0,0,0,0,0,1,1
25,3.872,12,0,0,0,0,0,0,1,1
26,3.902,12,0,0,0,0,0,0,1,1
27,3.932,12,0,0,0,0,0,0,1,1
28,3.962,12,0,0,0,0,0,0,1,1
29,3.992,12,0,0,0,0,0,0,1,1
30,4.022,12,0,0,0,0,0,0,1,1
31,4.078,12,0,0,0,0,0,0,1,1
32,4.108,12,0,0,0,0,0,0,1,1
33,4.138,12,0,0,0,0,0,0,1,1
34,4.168,12,0,0,0,0,0,0,1,1
35,4.198,12,0,0,0,0,0,0,1,1
36,4.228,12,0,0,0,0,0,0,1,1
37,4.258,12,0,0,0,0,0,0,1,1
38,4.288,12,0,0,0,0,0,0,1,1
39,4.318,12,0,0,0,0,0,0,1,1
40,4.348,12,0,0,0,0,0,0,1,1
41,4.404,12,0,0,0,0,0,0,1,1
42,4.444,12,0,0,0,0,0,0,1,1
43,4.484,12,0,0,0,0,0,0,1,1
44,4.524,12,0,0,0,0,0,0,1,1
45,4.564,12,0,0,0,0,0,0,1,1
46,4.604,12,0,0,0,0,0,0,1,1
47,4.644,12,0,0,0,0,0,0,1,1
48,4.684,12,0,0,0,0,0,0,1,1
49,4.724,12,0,0,0,0,0,0,1,1
50,4.764,12,0,0,0,0,0,0,1,1
