1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,4.225,12,0,0,0,0,0,0,1,1
2,4.245,12,0,0,0,0,0,0,1,1
3,4.265,12,0,0,0,0,0,0,1,1
4,4.285,12,0,0,0,0,0,0,1,1
5,4.305,12,0,0,0,0,0,0,1,1
6,4.325,12,0,0,0,0,0,0,1,1
7,4.345,12,0,0,0,0,0,0,1,1
8,4.365,12,0,0,0,0,0,0,1,1
9,4.385,12,0,0,0,0,0,0,1,1
10,4.405,12,0,0,0,0,0,0,1,1
11,4.436,12,0,0,0,0,0,0,1,1
12,4.456,12,0,0,0,0,0,0,1,1
13,4.476,12,0,0,0,0,0,0,1,1
14,4.496,12,0,0,0,0,0,0,1,1
15,4.516,12,0,0,0,0,0,0,1,1
16,4.536,12,0,0,0,0,0,0,1,1
17,4.556,12,0,0,0,0,0,0,1,1
18,4.576,12,0,0,0,0,0,0,1,1
19,4.596,12,0,0,0,0,0,0,1,1
20,4.616,12,0,0,0,0,0,0,1,1
21,4.647,12,0,0,0,0,0,0,1,1
22,4.667,12,0,0,0,0,0,0,1,1
23,4.687,12,0,0,0,0,0,0,1,1
24,4.707,12,0,0,0,0,0,0,1,1
25,4.727,12,0,0,0,0,0,0,1,1
26,4.747,12,0,0,0,0,0,0,1,1
27,4.767,12,0,0,0,0,0,0,1,1
28,4.787,12,0,0,0,0,0,0,1,1
29,4.807,12,0,0,0,0,0,0,1,1
30,4.827,12,0,0,0,0,0,0,1,1
31,4.858,12,0,0,0,0,0,0,1,1
32,4.878,12,0,0,0,0,0,0,1,1
33,4.898,12,0,0,0,0,0,0,1,1
34,4.918,12,0,0,0,0,0,0,1,1
35,4.938,12,0,0,0,0,0,0,1,1
36,4.958,12,0,0,0,0,0,0,1,1
37,4.978,12,0,0,0,0,0,0,1,1
38,4.998,12,0,0,0,0,0,0,1,1
39,5.018,12,0,0,0,0,0,0,1,1
40,5.038,12,0,0,0,0,0,0,1,1
41,5.069,12,0,0,0,0,0,0,1,1
42,5.089,12,0,0,0,0,0,0,1,1
43,5.109,12,0,0,0,0,0,0,1,1
44,5.129,12,0,0,0,0,0,0,1,1
45,5.149,12,0,0,0,0,0,0,1,1
46,5.169,12,0,0,0,0,0,0,1,1
47,5.189,12,0,0,0,0,0,0,1,1
48,5.209,12,0,0,0,0,0,0,1,1
49,5.229,12,0,0,0,0,0,0,1,1
50,5.249,12,0,0,0,0,0,0,1,1
