1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.2,12,0,0,0,0,0,0,1,6
2,0.21,12,0,0,0,0,0,0,1,6
3,0.22,12,0,0,0,0,0,0,1,6
4,0.23,12,0,0,0,0,0,0,1,6
5,0.24,12,0,0,0,0,0,0,1,6
6,0.25,12,0,0,0,0,0,0,1,6
7,0.26,12,0,0,0,0,0,0,1,6
8,0.27,12,0,0,0,0,0,0,1,6
9,0.28,12,0,0,0,0,0,0,1,6
10,0.29,12,0,0,0,0,0,0,1,6
11,0.26,12,0,0,0,0,0,0,1,6
12,0.27,12,0,0,0,0,0,0,1,6
13,0.28,12,0,0,0,0,0,0,1,6
14,0.29,12,0,0,0,0,0,0,1,6
15,0.3,12,0,0,0,0,0,0,1,6
16,0.31,12,0,0,0,0,0,0,1,6
17,0.32,12,0,0,0,0,0,0,1,6
18,0.33,12,0,0,0,0,0,0,1,6
19,0.34,12,0,0,0,0,0,0,1,6
20,0.35,12,0,0,0,0,0,0,1,6
21,0.32,12,0,0,0,0,0,0,1,6
22,0.33,12,0,0,0,0,0,0,1,6
23,0.34,12,0,0,0,0,0,0,1,6
24,0.35,12,0,0,0,0,0,0,1,6
25,0.36,12,0,0,0,0,0,0,1,6
26,0.37,12,0,0,0,0,0,0,1,6
27,0.38,12,0,0,0,0,0,0,1,6
28,0.39,12,0,0,0,0,0,0,1,6
29,0.4,12,0,0,0,0,0,0,1,6
30,0.41,12,0,0,0,0,0,0,1,6
31,0.38,12,0,0,0,0,0,0,1,6
32,0.39,12,0,0,0,0,0,0,1,6
33,0.4,12,0,0,0,0,0,0,1,6
34,0.41,12,0,0,0,0,0,0,1,6
35,0.42,12,0,0,0,0,0,0,1,6
36,0.43,12,0,0,0,0,0,0,1,6
37,0.44,12,0,0,0,0,0,0,1,6
38,0.45,12,0,0,0,0,0,0,1,6
39,0.46,12,0,0,0,0,0,0,1,6
40,0.47,12,0,0,0,0,0,0,1,6
41,0.44,12,0,0,0,0,0,0,1,6
42,0.45,12,0,0,0,0,0,0,1,6
43,0.46,12,0,0,0,0,0,0,1,6
44,0.47,12,0,0,0,0,0,0,1,6
45,0.48,12,0,0,0,0,0,0,1,6
46,0.49,12,0,0,0,0,0,0,1,6
47,0.5,12,0,0,0,0,0,0,1,6
48,0.51,12,0,0,0,0,0,0,1,6
49,0.52,12,0,0,0,0,0,0,1,6
50,0.53,12,0,0,0,0,0,0,1,6
