1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.52,12,0,0,0,0,0,0,1,6
2,0.53,12,0,0,0,0,0,0,1,6
3,0.54,12,0,0,0,0,0,0,1,6
4,0.55,12,0,0,0,0,0,0,1,6
5,0.56,12,0,0,0,0,0,0,1,6
6,0.57,12,0,0,0,0,0,0,1,6
7,0.58,12,0,0,0,0,0,0,1,6
8,0.59,12,0,0,0,0,0,0,1,6
9,0.6,12,0,0,0,0,0,0,1,6
10,0.61,12,0,0,0,0,0,0,1,6
11,0.608,12,0,0,0,0,0,0,1,6
12,0.618,12,0,0,0,0,0,0,1,6
13,0.628,12,0,0,0,0,0,0,1,6
14,0.638,12,0,0,0,0,0,0,1,6
15,0.648,12,0,0,0,0,0,0,1,6
16,0.658,12,0,0,0,0,0,0,1,6
17,0.668,12,0,0,0,0,0,0,1,6
18,0.678,12,0,0,0,0,0,0,1,6
19,0.688,12,0,0,0,0,0,0,1,6
20,0.698,12,0,0,0,0,0,0,1,6
21,0.696,12,0,0,0,0,0,0,1,6
22,0.706,12,0,0,0,0,0,0,1,6
23,0.716,12,0,0,0,0,0,0,1,6
24,0.726,12,0,0,0,0,0,0,1,6
25,0.736,12,0,0,0,0,0,0,1,6
26,0.746,12,0,0,0,0,0,0,1,6
27,0.756,12,0,0,0,0,0,0,1,6
28,0.766,12,0,0,0,0,0,0,1,6
29,0.776,12,0,0,0,0,0,0,1,6
30,0.786,12,0,0,0,0,0,0,1,6
31,0.784,12,0,0,0,0,0,0,1,6
32,0.794,12,0,0,0,0,0,0,1,6
33,0.804,12,0,0,0,0,0,0,1,6
34,0.814,12,0,0,0,0,0,0,1,6
35,0.824,12,0,0,0,0,0,0,1,6
36,0.834,12,0,0,0,0,0,0,1,6
37,0.844,12,0,0,0,0,0,0,1,6
38,0.854,12,0,0,0,0,0,0,1,6
39,0.864,12,0,0,0,0,0,0,1,6
40,0.874,12,0,0,0,0,0,0,1,6
41,0.872,12,0,0,0,0,0,0,1,6
42,0.882,12,0,0,0,0,0,0,1,6
43,0.892,12,0,0,0,0,0,0,1,6
44,0.902,12,0,0,0,0,0,0,1,6
45,0.912,12,0,0,0,0,0,0,1,6
46,0.922,12,0,0,0,0,0,0,1,6
47,0.932,12,0,0,0,0,0,0,1,6
48,0.942,12,0,0,0,0,0,0,1,6
49,0.952,12,0,0,0,0,0,0,1,6
50,0.962,12,0,0,0,0,0,0,1,6
