1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.824,12,0,0,0,0,0,0,1,6
2,0.834,12,0,0,0,0,0,0,1,6
3,0.844,12,0,0,0,0,0,0,1,6
4,0.854,12,0,0,0,0,0,0,1,6
5,0.864,12,0,0,0,0,0,0,1,6
6,0.874,12,0,0,0,0,0,0,1,6
7,0.884,12,0,0,0,0,0,0,1,6
8,0.894,12,0,0,0,0,0,0,1,6
9,0.904,12,0,0,0,0,0,0,1,6
10,0.914,12,0,0,0,0,0,0,1,6
11,0.883,12,0,0,0,0,0,0,1,6
12,0.893,12,0,0,0,0,0,0,1,6
13,0.903,12,0,0,0,0,0,0,1,6
14,0.913,12,0,0,0,0,0,0,1,6
15,0.923,12,0,0,0,0,0,0,1,6
16,0.933,12,0,0,0,0,0,0,1,6
17,0.943,12,0,0,0,0,0,0,1,6
18,0.953,12,0,0,0,0,0,0,1,6
19,0.963,12,0,0,0,0,0,0,1,6
20,0.973,12,0,0,0,0,0,0,1,6
21,0.942,12,0,0,0,0,0,0,1,6
22,0.952,12,0,0,0,0,0,0,1,6
23,0.962,12,0,0,0,0,0,0,1,6
24,0.972,12,0,0,0,0,0,0,1,6
25,0.982,12,0,0,0,0,0,0,1,6
26,0.992,12,0,0,0,0,0,0,1,6
27,1.002,12,0,0,0,0,0,0,1,6
28,1.012,12,0,0,0,0,0,0,1,6
29,1.022,12,0,0,0,0,0,0,1,6
30,1.032,12,0,0,0,0,0,0,1,6
31,1.002,12,0,0,0,0,0,0,1,6
32,1.012,12,0,0,0,0,0,0,1,6
33,1.022,12,0,0,0,0,0,0,1,6
34,1.032,12,0,0,0,0,0,0,1,6
35,1.042,12,0,0,0,0,0,0,1,6
36,1.052,12,0,0,0,0,0,0,1,6
37,1.062,12,0,0,0,0,0,0,1,6
38,1.072,12,0,0,0,0,0,0,1,6
39,1.082,12,0,0,0,0,0,0,1,6
40,1.092,12,0,0,0,0,0,0,1,6
41,1.061,12,0,0,0,0,0,0,1,6
42,1.071,12,0,0,0,0,0,0,1,6
43,1.081,12,0,0,0,0,0,0,1,6
44,1.091,12,0,0,0,0,0,0,1,6
45,1.101,12,0,0,0,0,0,0,1,6
46,1.111,12,0,0,0,0,0,0,1,6
47,1.121,12,0,0,0,0,0,0,1,6
48,1.131,12,0,0,0,0,0,0,1,6
49,1.141,12,0,0,0,0,0,0,1,6
50,1.151,12,0,0,0,0,0,0,1,6
