1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.4,12,0,0,0,0,0,0,1,6
2,0.41,12,0,0,0,0,0,0,1,6
3,0.42,12,0,0,0,0,0,0,1,6
4,0.43,12,0,0,0,0,0,0,1,6
5,0.44,12,0,0,0,0,0,0,1,6
6,0.45,12,0,0,0,0,0,0,1,6
7,0.46,12,0,0,0,0,0,0,1,6
8,0.47,12,0,0,0,0,0,0,1,6
9,0.48,12,0,0,0,0,0,0,1,6
10,0.49,12,0,0,0,0,0,0,1,6
11,0.482,12,0,0,0,0,0,0,1,6
12,0.492,12,0,0,0,0,0,0,1,6
13,0.502,12,0,0,0,0,0,0,1,6
14,0.512,12,0,0,0,0,0,0,1,6
15,0.522,12,0,0,0,0,0,0,1,6
16,0.532,12,0,0,0,0,0,0,1,6
17,0.542,12,0,0,0,0,0,0,1,6
18,0.552,12,0,0,0,0,0,0,1,6
19,0.562,12,0,0,0,0,0,0,1,6
20,0.572,12,0,0,0,0,0,0,1,6
21,0.564,12,0,0,0,0,0,0,1,6
22,0.574,12,0,0,0,0,0,0,1,6
23,0.584,12,0,0,0,0,0,0,1,6
24,0.594,12,0,0,0,0,0,0,1,6
25,0.604,12,0,0,0,0,0,0,1,6
26,0.614,12,0,0,0,0,0,0,1,6
27,0.624,12,0,0,0,0,0,0,1,6
28,0.634,12,0,0,0,0,0,0,1,6
29,0.644,12,0,0,0,0,0,0,1,6
30,0.654,12,0,0,0,0,0,0,1,6
31,0.646,12,0,0,0,0,0,0,1,6
32,0.656,12,0,0,0,0,0,0,1,6
33,0.666,12,0,0,0,0,0,0,1,6
34,0.676,12,0,0,0,0,0,0,1,6
35,0.686,12,0,0,0,0,0,0,1,6
36,0.696,12,0,0,0,0,0,0,1,6
37,0.706,12,0,0,0,0,0,0,1,6
38,0.716,12,0,0,0,0,0,0,1,6
39,0.726,12,0,0,0,0,0,0,1,6
40,0.736,12,0,0,0,0,0,0,1,6
41,0.728,12,0,0,0,0,0,0,1,6
42,0.738,12,0,0,0,0,0,0,1,6
43,0.748,12,0,0,0,0,0,0,1,6
44,0.758,12,0,0,0,0,0,0,1,6
45,0.768,12,0,0,0,0,0,0,1,6
46,0.778,12,0,0,0,0,0,0,1,6
47,0.788,12,0,0,0,0,0,0,1,6
48,0.798,12,0,0,0,0,0,0,1,6
49,0.808,12,0,0,0,0,0,0,1,6
50,0.818,12,0,0,0,0,0,0,1,6
