1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.3,12,0,0,0,0,0,0,1,6
2,0.31,12,0,0,0,0,0,0,1,6
3,0.32,12,0,0,0,0,0,0,1,6
4,0.33,12,0,0,0,0,0,0,1,6
5,0.34,12,0,0,0,0,0,0,1,6
6,0.35,12,0,0,0,0,0,0,1,6
7,0.36,12,0,0,0,0,0,0,1,6
8,0.37,12,0,0,0,0,0,0,1,6
9,0.38,12,0,0,0,0,0,0,1,6
10,0.39,12,0,0,0,0,0,0,1,6
11,0.374,12,0,0,0,0,0,0,1,6
12,0.384,12,0,0,0,0,0,0,1,6
13,0.394,12,0,0,0,0,0,0,1,6
14,0.404,12,0,0,0,0,0,0,1,6
15,0.414,12,0,0,0,0,0,0,1,6
16,0.424,12,0,0,0,0,0,0,1,6
17,0.434,12,0,0,0,0,0,0,1,6
18,0.444,12,0,0,0,0,0,0,1,6
19,0.454,12,0,0,0,0,0,0,1,6
20,0.464,12,0,0,0,0,0,0,1,6
21,0.448,12,0,0,0,0,0,0,1,6
22,0.458,12,0,0,0,0,0,0,1,6
23,0.468,12,0,0,0,0,0,0,1,6
24,0.478,12,0,0,0,0,0,0,1,6
25,0.488,12,0,0,0,0,0,0,1,6
26,0.498,12,0,0,0,0,0,0,1,6
27,0.508,12,0,0,0,0,0,0,1,6
28,0.518,12,0,0,0,0,0,0,1,6
29,0.528,12,0,0,0,0,0,0,1,6
30,0.538,12,0,0,0,0,0,0,1,6
31,0.522,12,0,0,0,0,0,0,1,6
32,0.532,12,0,0,0,0,0,0,1,6
33,0.542,12,0,0,0,0,0,0,1,6
34,0.552,12,0,0,0,0,0,0,1,6
35,0.562,12,0,0,0,0,0,0,1,6
36,0.572,12,0,0,0,0,0,0,1,6
37,0.582,12,0,0,0,0,0,0,1,6
38,0.592,12,0,0,0,0,0,0,1,6
39,0.602,12,0,0,0,0,0,0,1,6
40,0.612,12,0,0,0,0,0,0,1,6
41,0.596,12,0,0,0,0,0,0,1,6
42,0.606,12,0,0,0,0,0,0,1,6
43,0.616,12,0,0,0,0,0,0,1,6
44,0.626,12,0,0,0,0,0,0,1,6
45,0.636,12,0,0,0,0,0,0,1,6
46,0.646,12,0,0,0,0,0,0,1,6
47,0.656,12,0,0,0,0,0,0,1,6
48,0.666,12,0,0,0,0,0,0,1,6
49,0.676,12,0,0,0,0,0,0,1,6
50,0.686,12,0,0,0,0,0,0,1,6
