2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1086,22.2,0,39.6,0,1,0,0,1,0
2,1095.77,22.2,0,39.6,0,1,0,0,1,0
3,1105.54,22.2,0,39.6,0,1,0,0,1,0
4,1115.31,22.2,0,39.6,0,1,0,0,1,0
5,1125.08,22.2,0,39.6,0,1,0,0,1,0
6,1134.85,22.2,0,39.6,0,1,0,0,1,0
7,1144.62,22.2,0,39.6,0,1,0,0,1,0
8,1154.39,22.2,0,39.6,0,1,0,0,1,0
9,1164.16,22.2,0,39.6,0,1,0,0,1,0
10,1173.93,22.2,0,39.6,0,1,0,0,1,0
11,1183,22.2,0,39.6,0,1,0,0,1,0
12,1192.77,22.2,0,39.6,0,1,0,0,1,0
13,1202.54,22.2,0,39.6,0,1,0,0,1,0
14,1212.31,22.2,0,39.6,0,1,0,0,1,0
15,1222.08,22.2,0,39.6,0,1,0,0,1,0
16,1231.85,22.2,0,39.6,0,1,0,0,1,0
17,1241.62,22.2,0,39.6,0,1,0,0,1,0
18,1251.39,22.2,0,39.6,0,1,0,0,1,0
19,1261.16,22.2,0,39.6,0,1,0,0,1,0
20,1270.93,22.2,0,39.6,0,1,0,0,1,0
21,1280,22.2,0,39.6,0,1,0,0,1,0
22,1289.77,22.2,0,39.6,0,1,0,0,1,0
23,1299.54,22.2,0,39.6,0,1,0,0,1,0
24,1309.31,22.2,0,39.6,0,1,0,0,1,0
25,1319.08,22.2,0,39.6,0,1,0,0,1,0
26,1328.85,22.2,0,39.6,0,1,0,0,1,0
27,1338.62,22.2,0,39.6,0,1,0,0,1,0
28,1348.39,22.2,0,39.6,0,1,0,0,1,0
29,1358.16,22.2,0,39.6,0,1,0,0,1,0
30,1367.93,22.2,0,39.6,0,1,0,0,1,0
31,1377,22.2,0,39.6,0,1,0,0,1,0
32,1386.66,22.2,0,39.6,0,1,0,0,1,0
33,1396.32,22.2,0,39.6,0,1,0,0,1,0
34,1405.98,22.2,0,39.6,0,1,0,0,1,0
35,1415.64,22.2,0,39.6,0,1,0,0,1,0
36,1425.3,22.2,0,39.6,0,1,0,0,1,0
37,1434.96,22.2,0,39.6,0,1,0,0,1,0
38,1444.62,22.2,0,39.6,0,1,0,0,1,0
39,1454.28,22.2,0,39.6,0,1,0,0,1,0
40,1463.94,22.2,0,39.6,0,1,0,0,1,0
41,1474,22.2,0,39.6,0,1,0,0,1,0
42,1485,22.2,0,39.6,0,1,0,0,1,0
43,1496,22.2,0,39.6,0,1,0,0,1,0
44,1507,22.2,0,39.6,0,1,0,0,1,0
45,1518,22.2,0,39.6,0,1,0,0,1,0
46,1529,22.2,0,39.6,0,1,0,0,1,0
47,1540,22.2,0,39.6,0,1,0,0,1,0
48,1551,22.2,0,39.6,0,1,0,0,1,0
49,1562,22.2,0,39.6,0,1,0,0,1,0
50,1573,22.2,0,39.6,0,1,0,0,1,0
