2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,530,22.2,0,39.6,0,1,0,0,1,0
2,540.88,22.2,0,39.6,0,1,0,0,1,0
3,551.76,22.2,0,39.6,0,1,0,0,1,0
4,562.64,22.2,0,39.6,0,1,0,0,1,0
5,573.52,22.2,0,39.6,0,1,0,0,1,0
6,584.4,22.2,0,39.6,0,1,0,0,1,0
7,595.28,22.2,0,39.6,0,1,0,0,1,0
8,606.16,22.2,0,39.6,0,1,0,0,1,0
9,617.04,22.2,0,39.6,0,1,0,0,1,0
10,627.92,22.2,0,39.6,0,1,0,0,1,0
11,639,22.2,0,39.6,0,1,0,0,1,0
12,650,22.2,0,39.6,0,1,0,0,1,0
13,661,22.2,0,39.6,0,1,0,0,1,0
14,672,22.2,0,39.6,0,1,0,0,1,0
15,683,22.2,0,39.6,0,1,0,0,1,0
16,694,22.2,0,39.6,0,1,0,0,1,0
17,705,22.2,0,39.6,0,1,0,0,1,0
18,716,22.2,0,39.6,0,1,0,0,1,0
19,727,22.2,0,39.6,0,1,0,0,1,0
20,738,22.2,0,39.6,0,1,0,0,1,0
21,748,22.2,0,39.6,0,1,0,0,1,0
22,759,22.2,0,39.6,0,1,0,0,1,0
23,770,22.2,0,39.6,0,1,0,0,1,0
24,781,22.2,0,39.6,0,1,0,0,1,0
25,792,22.2,0,39.6,0,1,0,0,1,0
26,803,22.2,0,39.6,0,1,0,0,1,0
27,814,22.2,0,39.6,0,1,0,0,1,0
28,825,22.2,0,39.6,0,1,0,0,1,0
29,836,22.2,0,39.6,0,1,0,0,1,0
30,847,22.2,0,39.6,0,1,0,0,1,0
31,857,22.2,0,39.6,0,1,0,0,1,0
32,868,22.2,0,39.6,0,1,0,0,1,0
33,879,22.2,0,39.6,0,1,0,0,1,0
34,890,22.2,0,39.6,0,1,0,0,1,0
35,901,22.2,0,39.6,0,1,0,0,1,0
36,912,22.2,0,39.6,0,1,0,0,1,0
37,923,22.2,0,39.6,0,1,0,0,1,0
38,934,22.2,0,39.6,0,1,0,0,1,0
39,945,22.2,0,39.6,0,1,0,0,1,0
40,956,22.2,0,39.6,0,1,0,0,1,0
41,967,22.2,0,39.6,0,1,0,0,1,0
42,978.88,22.2,0,39.6,0,1,0,0,1,0
43,990.76,22.2,0,39.6,0,1,0,0,1,0
44,1002.64,22.2,0,39.6,0,1,0,0,1,0
45,1014.52,22.2,0,39.6,0,1,0,0,1,0
46,1026.4,22.2,0,39.6,0,1,0,0,1,0
47,1038.28,22.2,0,39.6,0,1,0,0,1,0
48,1050.16,22.2,0,39.6,0,1,0,0,1,0
49,1062.04,22.2,0,39.6,0,1,0,0,1,0
50,1073.92,22.2,0,39.6,0,1,0,0,1,0
