2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,499,22.2,0,39.6,0,1,0,0,1,0
2,506.77,22.2,0,39.6,0,1,0,0,1,0
3,514.54,22.2,0,39.6,0,1,0,0,1,0
4,522.31,22.2,0,39.6,0,1,0,0,1,0
5,530.08,22.2,0,39.6,0,1,0,0,1,0
6,537.85,22.2,0,39.6,0,1,0,0,1,0
7,545.62,22.2,0,39.6,0,1,0,0,1,0
8,553.39,22.2,0,39.6,0,1,0,0,1,0
9,561.16,22.2,0,39.6,0,1,0,0,1,0
10,568.93,22.2,0,39.6,0,1,0,0,1,0
11,576,22.2,0,39.6,0,1,0,0,1,0
12,583.77,22.2,0,39.6,0,1,0,0,1,0
13,591.54,22.2,0,39.6,0,1,0,0,1,0
14,599.31,22.2,0,39.6,0,1,0,0,1,0
15,607.08,22.2,0,39.6,0,1,0,0,1,0
16,614.85,22.2,0,39.6,0,1,0,0,1,0
17,622.62,22.2,0,39.6,0,1,0,0,1,0
18,630.39,22.2,0,39.6,0,1,0,0,1,0
19,638.16,22.2,0,39.6,0,1,0,0,1,0
20,645.93,22.2,0,39.6,0,1,0,0,1,0
21,653,22.2,0,39.6,0,1,0,0,1,0
22,660.66,22.2,0,39.6,0,1,0,0,1,0
23,668.32,22.2,0,39.6,0,1,0,0,1,0
24,675.98,22.2,0,39.6,0,1,0,0,1,0
25,683.64,22.2,0,39.6,0,1,0,0,1,0
26,691.3,22.2,0,39.6,0,1,0,0,1,0
27,698.96,22.2,0,39.6,0,1,0,0,1,0
28,706.62,22.2,0,39.6,0,1,0,0,1,0
29,714.28,22.2,0,39.6,0,1,0,0,1,0
30,721.94,22.2,0,39.6,0,1,0,0,1,0
31,730,22.2,0,39.6,0,1,0,0,1,0
32,737.66,22.2,0,39.6,0,1,0,0,1,0
33,745.32,22.2,0,39.6,0,1,0,0,1,0
34,752.98,22.2,0,39.6,0,1,0,0,1,0
35,760.64,22.2,0,39.6,0,1,0,0,1,0
36,768.3,22.2,0,39.6,0,1,0,0,1,0
37,775.96,22.2,0,39.6,0,1,0,0,1,0
38,783.62,22.2,0,39.6,0,1,0,0,1,0
39,791.28,22.2,0,39.6,0,1,0,0,1,0
40,798.94,22.2,0,39.6,0,1,0,0,1,0
41,807,22.2,0,39.6,0,1,0,0,1,0
42,815.33,22.2,0,39.6,0,1,0,0,1,0
43,823.66,22.2,0,39.6,0,1,0,0,1,0
44,831.99,22.2,0,39.6,0,1,0,0,1,0
45,840.32,22.2,0,39.6,0,1,0,0,1,0
46,848.65,22.2,0,39.6,0,1,0,0,1,0
47,856.98,22.2,0,39.6,0,1,0,0,1,0
48,865.31,22.2,0,39.6,0,1,0,0,1,0
49,873.64,22.2,0,39.6,0,1,0,0,1,0
50,881.97,22.2,0,39.6,0,1,0,0,1,0
