1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,427,15,0,16.5,0,0,0.3,0,1,0
2,437.88,15,0,16.5,0,0,0.3,0,1,0
3,448.76,15,0,16.5,0,0,0.3,0,1,0
4,459.64,15,0,16.5,0,0,0.3,0,1,0
5,470.52,15,0,16.5,0,0,0.3,0,1,0
6,481.4,15,0,16.5,0,0,0.3,0,1,0
7,492.28,15,0,16.5,0,0,0.3,0,1,0
8,503.16,15,0,16.5,0,0,0.3,0,1,0
9,514.04,15,0,16.5,0,0,0.3,0,1,0
10,524.92,15,0,16.5,0,0,0.3,0,1,0
11,535,15,0,16.5,0,0,0.3,0,1,0
12,545.88,15,0,16.5,0,0,0.3,0,1,0
13,556.76,15,0,16.5,0,0,0.3,0,1,0
14,567.64,15,0,16.5,0,0,0.3,0,1,0
15,578.52,15,0,16.5,0,0,0.3,0,1,0
16,589.4,15,0,16.5,0,0,0.3,0,1,0
17,600.28,15,0,16.5,0,0,0.3,0,1,0
18,611.16,15,0,16.5,0,0,0.3,0,1,0
19,622.04,15,0,16.5,0,0,0.3,0,1,0
20,632.92,15,0,16.5,0,0,0.3,0,1,0
21,643,15,0,16.5,0,0,0.3,0,1,0
22,653.88,15,0,16.5,0,0,0.3,0,1,0
23,664.76,15,0,16.5,0,0,0.3,0,1,0
24,675.64,15,0,16.5,0,0,0.3,0,1,0
25,686.52,15,0,16.5,0,0,0.3,0,1,0
26,697.4,15,0,16.5,0,0,0.3,0,1,0
27,708.28,15,0,16.5,0,0,0.3,0,1,0
28,719.16,15,0,16.5,0,0,0.3,0,1,0
29,730.04,15,0,16.5,0,0,0.3,0,1,0
30,740.92,15,0,16.5,0,0,0.3,0,1,0
31,751,15,0,16.5,0,0,0.3,0,1,0
32,761.88,15,0,16.5,0,0,0.3,0,1,0
33,772.76,15,0,16.5,0,0,0.3,0,1,0
34,783.64,15,0,16.5,0,0,0.3,0,1,0
35,794.52,15,0,16.5,0,0,0.3,0,1,0
36,805.4,15,0,16.5,0,0,0.3,0,1,0
37,816.28,15,0,16.5,0,0,0.3,0,1,0
38,827.16,15,0,16.5,0,0,0.3,0,1,0
39,838.04,15,0,16.5,0,0,0.3,0,1,0
40,848.92,15,0,16.5,0,0,0.3,0,1,0
41,859,15,0,16.5,0,0,0.3,0,1,0
42,871,15,0,16.5,0,0,0.3,0,1,0
43,883,15,0,16.5,0,0,0.3,0,1,0
44,895,15,0,16.5,0,0,0.3,0,1,0
45,907,15,0,16.5,0,0,0.3,0,1,0
46,919,15,0,16.5,0,0,0.3,0,1,0
47,931,15,0,16.5,0,0,0.3,0,1,0
48,943,15,0,16.5,0,0,0.3,0,1,0
49,955,15,0,16.5,0,0,0.3,0,1,0
50,967,15,0,16.5,0,0,0.3,0,1,0
