1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,391,15,0,16.5,0,0,0.3,0,1,0
2,399.11,15,0,16.5,0,0,0.3,0,1,0
3,407.22,15,0,16.5,0,0,0.3,0,1,0
4,415.33,15,0,16.5,0,0,0.3,0,1,0
5,423.44,15,0,16.5,0,0,0.3,0,1,0
6,431.55,15,0,16.5,0,0,0.3,0,1,0
7,439.66,15,0,16.5,0,0,0.3,0,1,0
8,447.77,15,0,16.5,0,0,0.3,0,1,0
9,455.88,15,0,16.5,0,0,0.3,0,1,0
10,463.99,15,0,16.5,0,0,0.3,0,1,0
11,472,15,0,16.5,0,0,0.3,0,1,0
12,480.11,15,0,16.5,0,0,0.3,0,1,0
13,488.22,15,0,16.5,0,0,0.3,0,1,0
14,496.33,15,0,16.5,0,0,0.3,0,1,0
15,504.44,15,0,16.5,0,0,0.3,0,1,0
16,512.55,15,0,16.5,0,0,0.3,0,1,0
17,520.66,15,0,16.5,0,0,0.3,0,1,0
18,528.77,15,0,16.5,0,0,0.3,0,1,0
19,536.88,15,0,16.5,0,0,0.3,0,1,0
20,544.99,15,0,16.5,0,0,0.3,0,1,0
21,553,15,0,16.5,0,0,0.3,0,1,0
22,561.11,15,0,16.5,0,0,0.3,0,1,0
23,569.22,15,0,16.5,0,0,0.3,0,1,0
24,577.33,15,0,16.5,0,0,0.3,0,1,0
25,585.44,15,0,16.5,0,0,0.3,0,1,0
26,593.55,15,0,16.5,0,0,0.3,0,1,0
27,601.66,15,0,16.5,0,0,0.3,0,1,0
28,609.77,15,0,16.5,0,0,0.3,0,1,0
29,617.88,15,0,16.5,0,0,0.3,0,1,0
30,625.99,15,0,16.5,0,0,0.3,0,1,0
31,634,15,0,16.5,0,0,0.3,0,1,0
32,642.11,15,0,16.5,0,0,0.3,0,1,0
33,650.22,15,0,16.5,0,0,0.3,0,1,0
34,658.33,15,0,16.5,0,0,0.3,0,1,0
35,666.44,15,0,16.5,0,0,0.3,0,1,0
36,674.55,15,0,16.5,0,0,0.3,0,1,0
37,682.66,15,0,16.5,0,0,0.3,0,1,0
38,690.77,15,0,16.5,0,0,0.3,0,1,0
39,698.88,15,0,16.5,0,0,0.3,0,1,0
40,706.99,15,0,16.5,0,0,0.3,0,1,0
41,715,15,0,16.5,0,0,0.3,0,1,0
42,723.66,15,0,16.5,0,0,0.3,0,1,0
43,732.32,15,0,16.5,0,0,0.3,0,1,0
44,740.98,15,0,16.5,0,0,0.3,0,1,0
45,749.64,15,0,16.5,0,0,0.3,0,1,0
46,758.3,15,0,16.5,0,0,0.3,0,1,0
47,766.96,15,0,16.5,0,0,0.3,0,1,0
48,775.62,15,0,16.5,0,0,0.3,0,1,0
49,784.28,15,0,16.5,0,0,0.3,0,1,0
50,792.94,15,0,16.5,0,0,0.3,0,1,0
