1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,271,11.1,7,0,0,2,1,0,1,0
2,278,11.1,7,0,0,2,1,0,1,0
3,285,11.1,7,0,0,2,1,0,1,0
4,292,11.1,7,0,0,2,1,0,1,0
5,299,11.1,7,0,0,2,1,0,1,0
6,306,11.1,7,0,0,2,1,0,1,0
7,313,11.1,7,0,0,2,1,0,1,0
8,320,11.1,7,0,0,2,1,0,1,0
9,327,11.1,7,0,0,2,1,0,1,0
10,334,11.1,7,0,0,2,1,0,1,0
11,340,11.1,7,0,0,2,1,0,1,0
12,347,11.1,7,0,0,2,1,0,1,0
13,354,11.1,7,0,0,2,1,0,1,0
14,361,11.1,7,0,0,2,1,0,1,0
15,368,11.1,7,0,0,2,1,0,1,0
16,375,11.1,7,0,0,2,1,0,1,0
17,382,11.1,7,0,0,2,1,0,1,0
18,389,11.1,7,0,0,2,1,0,1,0
19,396,11.1,7,0,0,2,1,0,1,0
20,403,11.1,7,0,0,2,1,0,1,0
21,409,11.1,7,0,0,2,1,0,1,0
22,416,11.1,7,0,0,2,1,0,1,0
23,423,11.1,7,0,0,2,1,0,1,0
24,430,11.1,7,0,0,2,1,0,1,0
25,437,11.1,7,0,0,2,1,0,1,0
26,444,11.1,7,0,0,2,1,0,1,0
27,451,11.1,7,0,0,2,1,0,1,0
28,458,11.1,7,0,0,2,1,0,1,0
29,465,11.1,7,0,0,2,1,0,1,0
30,472,11.1,7,0,0,2,1,0,1,0
31,478,11.1,7,0,0,2,1,0,1,0
32,485,11.1,7,0,0,2,1,0,1,0
33,492,11.1,7,0,0,2,1,0,1,0
34,499,11.1,7,0,0,2,1,0,1,0
35,506,11.1,7,0,0,2,1,0,1,0
36,513,11.1,7,0,0,2,1,0,1,0
37,520,11.1,7,0,0,2,1,0,1,0
38,527,11.1,7,0,0,2,1,0,1,0
39,534,11.1,7,0,0,2,1,0,1,0
40,541,11.1,7,0,0,2,1,0,1,0
41,547,11.1,7,0,0,2,1,0,1,0
42,554.44,11.1,7,0,0,2,1,0,1,0
43,561.88,11.1,7,0,0,2,1,0,1,0
44,569.32,11.1,7,0,0,2,1,0,1,0
45,576.76,11.1,7,0,0,2,1,0,1,0
46,584.2,11.1,7,0,0,2,1,0,1,0
47,591.64,11.1,7,0,0,2,1,0,1,0
48,599.08,11.1,7,0,0,2,1,0,1,0
49,606.52,11.1,7,0,0,2,1,0,1,0
50,613.96,11.1,7,0,0,2,1,0,1,0
