1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,509,11.1,7,0,0,2,1,0,1,0
2,513.66,11.1,7,0,0,2,1,0,1,0
3,518.32,11.1,7,0,0,2,1,0,1,0
4,522.98,11.1,7,0,0,2,1,0,1,0
5,527.64,11.1,7,0,0,2,1,0,1,0
6,532.3,11.1,7,0,0,2,1,0,1,0
7,536.96,11.1,7,0,0,2,1,0,1,0
8,541.62,11.1,7,0,0,2,1,0,1,0
9,546.28,11.1,7,0,0,2,1,0,1,0
10,550.94,11.1,7,0,0,2,1,0,1,0
11,555,11.1,7,0,0,2,1,0,1,0
12,559.66,11.1,7,0,0,2,1,0,1,0
13,564.32,11.1,7,0,0,2,1,0,1,0
14,568.98,11.1,7,0,0,2,1,0,1,0
15,573.64,11.1,7,0,0,2,1,0,1,0
16,578.3,11.1,7,0,0,2,1,0,1,0
17,582.96,11.1,7,0,0,2,1,0,1,0
18,587.62,11.1,7,0,0,2,1,0,1,0
19,592.28,11.1,7,0,0,2,1,0,1,0
20,596.94,11.1,7,0,0,2,1,0,1,0
21,601,11.1,7,0,0,2,1,0,1,0
22,605.66,11.1,7,0,0,2,1,0,1,0
23,610.32,11.1,7,0,0,2,1,0,1,0
24,614.98,11.1,7,0,0,2,1,0,1,0
25,619.64,11.1,7,0,0,2,1,0,1,0
26,624.3,11.1,7,0,0,2,1,0,1,0
27,628.96,11.1,7,0,0,2,1,0,1,0
28,633.62,11.1,7,0,0,2,1,0,1,0
29,638.28,11.1,7,0,0,2,1,0,1,0
30,642.94,11.1,7,0,0,2,1,0,1,0
31,647,11.1,7,0,0,2,1,0,1,0
32,651.66,11.1,7,0,0,2,1,0,1,0
33,656.32,11.1,7,0,0,2,1,0,1,0
34,660.98,11.1,7,0,0,2,1,0,1,0
35,665.64,11.1,7,0,0,2,1,0,1,0
36,670.3,11.1,7,0,0,2,1,0,1,0
37,674.96,11.1,7,0,0,2,1,0,1,0
38,679.62,11.1,7,0,0,2,1,0,1,0
39,684.28,11.1,7,0,0,2,1,0,1,0
40,688.94,11.1,7,0,0,2,1,0,1,0
41,693,11.1,7,0,0,2,1,0,1,0
42,697.88,11.1,7,0,0,2,1,0,1,0
43,702.76,11.1,7,0,0,2,1,0,1,0
44,707.64,11.1,7,0,0,2,1,0,1,0
45,712.52,11.1,7,0,0,2,1,0,1,0
46,717.4,11.1,7,0,0,2,1,0,1,0
47,722.28,11.1,7,0,0,2,1,0,1,0
48,727.16,11.1,7,0,0,2,1,0,1,0
49,732.04,11.1,7,0,0,2,1,0,1,0
50,736.92,11.1,7,0,0,2,1,0,1,0
