1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,234,11.1,7,0,0,2,1,0,1,0
2,237.66,11.1,7,0,0,2,1,0,1,0
3,241.32,11.1,7,0,0,2,1,0,1,0
4,244.98,11.1,7,0,0,2,1,0,1,0
5,248.64,11.1,7,0,0,2,1,0,1,0
6,252.3,11.1,7,0,0,2,1,0,1,0
7,255.96,11.1,7,0,0,2,1,0,1,0
8,259.62,11.1,7,0,0,2,1,0,1,0
9,263.28,11.1,7,0,0,2,1,0,1,0
10,266.94,11.1,7,0,0,2,1,0,1,0
11,270,11.1,7,0,0,2,1,0,1,0
12,273.66,11.1,7,0,0,2,1,0,1,0
13,277.32,11.1,7,0,0,2,1,0,1,0
14,280.98,11.1,7,0,0,2,1,0,1,0
15,284.64,11.1,7,0,0,2,1,0,1,0
16,288.3,11.1,7,0,0,2,1,0,1,0
17,291.96,11.1,7,0,0,2,1,0,1,0
18,295.62,11.1,7,0,0,2,1,0,1,0
19,299.28,11.1,7,0,0,2,1,0,1,0
20,302.94,11.1,7,0,0,2,1,0,1,0
21,306,11.1,7,0,0,2,1,0,1,0
22,309.66,11.1,7,0,0,2,1,0,1,0
23,313.32,11.1,7,0,0,2,1,0,1,0
24,316.98,11.1,7,0,0,2,1,0,1,0
25,320.64,11.1,7,0,0,2,1,0,1,0
26,324.3,11.1,7,0,0,2,1,0,1,0
27,327.96,11.1,7,0,0,2,1,0,1,0
28,331.62,11.1,7,0,0,2,1,0,1,0
29,335.28,11.1,7,0,0,2,1,0,1,0
30,338.94,11.1,7,0,0,2,1,0,1,0
31,342,11.1,7,0,0,2,1,0,1,0
32,345.66,11.1,7,0,0,2,1,0,1,0
33,349.32,11.1,7,0,0,2,1,0,1,0
34,352.98,11.1,7,0,0,2,1,0,1,0
35,356.64,11.1,7,0,0,2,1,0,1,0
36,360.3,11.1,7,0,0,2,1,0,1,0
37,363.96,11.1,7,0,0,2,1,0,1,0
38,367.62,11.1,7,0,0,2,1,0,1,0
39,371.28,11.1,7,0,0,2,1,0,1,0
40,374.94,11.1,7,0,0,2,1,0,1,0
41,378,11.1,7,0,0,2,1,0,1,0
42,382,11.1,7,0,0,2,1,0,1,0
43,386,11.1,7,0,0,2,1,0,1,0
44,390,11.1,7,0,0,2,1,0,1,0
45,394,11.1,7,0,0,2,1,0,1,0
46,398,11.1,7,0,0,2,1,0,1,0
47,402,11.1,7,0,0,2,1,0,1,0
48,406,11.1,7,0,0,2,1,0,1,0
49,410,11.1,7,0,0,2,1,0,1,0
50,414,11.1,7,0,0,2,1,0,1,0
