2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,29,17,22,0,0,0,4,0,1,15
2,29.22,17,22,0,0,0,4,0,1,15
3,29.44,17,22,0,0,0,4,0,1,15
4,29.66,17,22,0,0,0,4,0,1,15
5,29.88,17,22,0,0,0,4,0,1,15
6,30.1,17,22,0,0,0,4,0,1,15
7,30.32,17,22,0,0,0,4,0,1,15
8,30.54,17,22,0,0,0,4,0,1,15
9,30.76,17,22,0,0,0,4,0,1,15
10,30.98,17,22,0,0,0,4,0,1,15
11,31,17,22,0,0,0,4,0,1,15
12,31.22,17,22,0,0,0,4,0,1,15
13,31.44,17,22,0,0,0,4,0,1,15
14,31.66,17,22,0,0,0,4,0,1,15
15,31.88,17,22,0,0,0,4,0,1,15
16,32.1,17,22,0,0,0,4,0,1,15
17,32.32,17,22,0,0,0,4,0,1,15
18,32.54,17,22,0,0,0,4,0,1,15
19,32.76,17,22,0,0,0,4,0,1,15
20,32.98,17,22,0,0,0,4,0,1,15
21,33,17,22,0,0,0,4,0,1,15
22,33.22,17,22,0,0,0,4,0,1,15
23,33.44,17,22,0,0,0,4,0,1,15
24,33.66,17,22,0,0,0,4,0,1,15
25,33.88,17,22,0,0,0,4,0,1,15
26,34.1,17,22,0,0,0,4,0,1,15
27,34.32,17,22,0,0,0,4,0,1,15
28,34.54,17,22,0,0,0,4,0,1,15
29,34.76,17,22,0,0,0,4,0,1,15
30,34.98,17,22,0,0,0,4,0,1,15
31,35,17,22,0,0,0,4,0,1,15
32,35.22,17,22,0,0,0,4,0,1,15
33,35.44,17,22,0,0,0,4,0,1,15
34,35.66,17,22,0,0,0,4,0,1,15
35,35.88,17,22,0,0,0,4,0,1,15
36,36.1,17,22,0,0,0,4,0,1,15
37,36.32,17,22,0,0,0,4,0,1,15
38,36.54,17,22,0,0,0,4,0,1,15
39,36.76,17,22,0,0,0,4,0,1,15
40,36.98,17,22,0,0,0,4,0,1,15
41,37,17,22,0,0,0,4,0,1,15
42,37.44,17,22,0,0,0,4,0,1,15
43,37.88,17,22,0,0,0,4,0,1,15
44,38.32,17,22,0,0,0,4,0,1,15
45,38.76,17,22,0,0,0,4,0,1,15
46,39.2,17,22,0,0,0,4,0,1,15
47,39.64,17,22,0,0,0,4,0,1,15
48,40.08,17,22,0,0,0,4,0,1,15
49,40.52,17,22,0,0,0,4,0,1,15
50,40.96,17,22,0,0,0,4,0,1,15
