2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,36,17,22,0,0,0,4,0,1,15
2,37,17,22,0,0,0,4,0,1,15
3,38,17,22,0,0,0,4,0,1,15
4,39,17,22,0,0,0,4,0,1,15
5,40,17,22,0,0,0,4,0,1,15
6,41,17,22,0,0,0,4,0,1,15
7,42,17,22,0,0,0,4,0,1,15
8,43,17,22,0,0,0,4,0,1,15
9,44,17,22,0,0,0,4,0,1,15
10,45,17,22,0,0,0,4,0,1,15
11,44,17,22,0,0,0,4,0,1,15
12,45,17,22,0,0,0,4,0,1,15
13,46,17,22,0,0,0,4,0,1,15
14,47,17,22,0,0,0,4,0,1,15
15,48,17,22,0,0,0,4,0,1,15
16,49,17,22,0,0,0,4,0,1,15
17,50,17,22,0,0,0,4,0,1,15
18,51,17,22,0,0,0,4,0,1,15
19,52,17,22,0,0,0,4,0,1,15
20,53,17,22,0,0,0,4,0,1,15
21,53,17,22,0,0,0,4,0,1,15
22,54,17,22,0,0,0,4,0,1,15
23,55,17,22,0,0,0,4,0,1,15
24,56,17,22,0,0,0,4,0,1,15
25,57,17,22,0,0,0,4,0,1,15
26,58,17,22,0,0,0,4,0,1,15
27,59,17,22,0,0,0,4,0,1,15
28,60,17,22,0,0,0,4,0,1,15
29,61,17,22,0,0,0,4,0,1,15
30,62,17,22,0,0,0,4,0,1,15
31,61,17,22,0,0,0,4,0,1,15
32,62,17,22,0,0,0,4,0,1,15
33,63,17,22,0,0,0,4,0,1,15
34,64,17,22,0,0,0,4,0,1,15
35,65,17,22,0,0,0,4,0,1,15
36,66,17,22,0,0,0,4,0,1,15
37,67,17,22,0,0,0,4,0,1,15
38,68,17,22,0,0,0,4,0,1,15
39,69,17,22,0,0,0,4,0,1,15
40,70,17,22,0,0,0,4,0,1,15
41,70,17,22,0,0,0,4,0,1,15
42,71.22,17,22,0,0,0,4,0,1,15
43,72.44,17,22,0,0,0,4,0,1,15
44,73.66,17,22,0,0,0,4,0,1,15
45,74.88,17,22,0,0,0,4,0,1,15
46,76.1,17,22,0,0,0,4,0,1,15
47,77.32,17,22,0,0,0,4,0,1,15
48,78.54,17,22,0,0,0,4,0,1,15
49,79.76,17,22,0,0,0,4,0,1,15
50,80.98,17,22,0,0,0,4,0,1,15
