2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,67,17,22,0,0,0,4,0,1,15
2,67.66,17,22,0,0,0,4,0,1,15
3,68.32,17,22,0,0,0,4,0,1,15
4,68.98,17,22,0,0,0,4,0,1,15
5,69.64,17,22,0,0,0,4,0,1,15
6,70.3,17,22,0,0,0,4,0,1,15
7,70.96,17,22,0,0,0,4,0,1,15
8,71.62,17,22,0,0,0,4,0,1,15
9,72.28,17,22,0,0,0,4,0,1,15
10,72.94,17,22,0,0,0,4,0,1,15
11,73,17,22,0,0,0,4,0,1,15
12,73.66,17,22,0,0,0,4,0,1,15
13,74.32,17,22,0,0,0,4,0,1,15
14,74.98,17,22,0,0,0,4,0,1,15
15,75.64,17,22,0,0,0,4,0,1,15
16,76.3,17,22,0,0,0,4,0,1,15
17,76.96,17,22,0,0,0,4,0,1,15
18,77.62,17,22,0,0,0,4,0,1,15
19,78.28,17,22,0,0,0,4,0,1,15
20,78.94,17,22,0,0,0,4,0,1,15
21,78,17,22,0,0,0,4,0,1,15
22,78.66,17,22,0,0,0,4,0,1,15
23,79.32,17,22,0,0,0,4,0,1,15
24,79.98,17,22,0,0,0,4,0,1,15
25,80.64,17,22,0,0,0,4,0,1,15
26,81.3,17,22,0,0,0,4,0,1,15
27,81.96,17,22,0,0,0,4,0,1,15
28,82.62,17,22,0,0,0,4,0,1,15
29,83.28,17,22,0,0,0,4,0,1,15
30,83.94,17,22,0,0,0,4,0,1,15
31,84,17,22,0,0,0,4,0,1,15
32,84.66,17,22,0,0,0,4,0,1,15
33,85.32,17,22,0,0,0,4,0,1,15
34,85.98,17,22,0,0,0,4,0,1,15
35,86.64,17,22,0,0,0,4,0,1,15
36,87.3,17,22,0,0,0,4,0,1,15
37,87.96,17,22,0,0,0,4,0,1,15
38,88.62,17,22,0,0,0,4,0,1,15
39,89.28,17,22,0,0,0,4,0,1,15
40,89.94,17,22,0,0,0,4,0,1,15
41,90,17,22,0,0,0,4,0,1,15
42,90.66,17,22,0,0,0,4,0,1,15
43,91.32,17,22,0,0,0,4,0,1,15
44,91.98,17,22,0,0,0,4,0,1,15
45,92.64,17,22,0,0,0,4,0,1,15
46,93.3,17,22,0,0,0,4,0,1,15
47,93.96,17,22,0,0,0,4,0,1,15
48,94.62,17,22,0,0,0,4,0,1,15
49,95.28,17,22,0,0,0,4,0,1,15
50,95.94,17,22,0,0,0,4,0,1,15
