2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,31,17,22,0,0,0,4,0,1,15
2,31.55,17,22,0,0,0,4,0,1,15
3,32.1,17,22,0,0,0,4,0,1,15
4,32.65,17,22,0,0,0,4,0,1,15
5,33.2,17,22,0,0,0,4,0,1,15
6,33.75,17,22,0,0,0,4,0,1,15
7,34.3,17,22,0,0,0,4,0,1,15
8,34.85,17,22,0,0,0,4,0,1,15
9,35.4,17,22,0,0,0,4,0,1,15
10,35.95,17,22,0,0,0,4,0,1,15
11,36,17,22,0,0,0,4,0,1,15
12,36.55,17,22,0,0,0,4,0,1,15
13,37.1,17,22,0,0,0,4,0,1,15
14,37.65,17,22,0,0,0,4,0,1,15
15,38.2,17,22,0,0,0,4,0,1,15
16,38.75,17,22,0,0,0,4,0,1,15
17,39.3,17,22,0,0,0,4,0,1,15
18,39.85,17,22,0,0,0,4,0,1,15
19,40.4,17,22,0,0,0,4,0,1,15
20,40.95,17,22,0,0,0,4,0,1,15
21,40,17,22,0,0,0,4,0,1,15
22,40.55,17,22,0,0,0,4,0,1,15
23,41.1,17,22,0,0,0,4,0,1,15
24,41.65,17,22,0,0,0,4,0,1,15
25,42.2,17,22,0,0,0,4,0,1,15
26,42.75,17,22,0,0,0,4,0,1,15
27,43.3,17,22,0,0,0,4,0,1,15
28,43.85,17,22,0,0,0,4,0,1,15
29,44.4,17,22,0,0,0,4,0,1,15
30,44.95,17,22,0,0,0,4,0,1,15
31,45,17,22,0,0,0,4,0,1,15
32,45.55,17,22,0,0,0,4,0,1,15
33,46.1,17,22,0,0,0,4,0,1,15
34,46.65,17,22,0,0,0,4,0,1,15
35,47.2,17,22,0,0,0,4,0,1,15
36,47.75,17,22,0,0,0,4,0,1,15
37,48.3,17,22,0,0,0,4,0,1,15
38,48.85,17,22,0,0,0,4,0,1,15
39,49.4,17,22,0,0,0,4,0,1,15
40,49.95,17,22,0,0,0,4,0,1,15
41,50,17,22,0,0,0,4,0,1,15
42,50.55,17,22,0,0,0,4,0,1,15
43,51.1,17,22,0,0,0,4,0,1,15
44,51.65,17,22,0,0,0,4,0,1,15
45,52.2,17,22,0,0,0,4,0,1,15
46,52.75,17,22,0,0,0,4,0,1,15
47,53.3,17,22,0,0,0,4,0,1,15
48,53.85,17,22,0,0,0,4,0,1,15
49,54.4,17,22,0,0,0,4,0,1,15
50,54.95,17,22,0,0,0,4,0,1,15
