2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,60,14.7,0,0,0,0,5,0,1,8.5
2,60.55,14.7,0,0,0,0,5,0,1,8.5
3,61.1,14.7,0,0,0,0,5,0,1,8.5
4,61.65,14.7,0,0,0,0,5,0,1,8.5
5,62.2,14.7,0,0,0,0,5,0,1,8.5
6,62.75,14.7,0,0,0,0,5,0,1,8.5
7,63.3,14.7,0,0,0,0,5,0,1,8.5
8,63.85,14.7,0,0,0,0,5,0,1,8.5
9,64.4,14.7,0,0,0,0,5,0,1,8.5
10,64.95,14.7,0,0,0,0,5,0,1,8.5
11,65,14.7,0,0,0,0,5,0,1,8.5
12,65.55,14.7,0,0,0,0,5,0,1,8.5
13,66.1,14.7,0,0,0,0,5,0,1,8.5
14,66.65,14.7,0,0,0,0,5,0,1,8.5
15,67.2,14.7,0,0,0,0,5,0,1,8.5
16,67.75,14.7,0,0,0,0,5,0,1,8.5
17,68.3,14.7,0,0,0,0,5,0,1,8.5
18,68.85,14.7,0,0,0,0,5,0,1,8.5
19,69.4,14.7,0,0,0,0,5,0,1,8.5
20,69.95,14.7,0,0,0,0,5,0,1,8.5
21,70,14.7,0,0,0,0,5,0,1,8.5
22,70.55,14.7,0,0,0,0,5,0,1,8.5
23,71.1,14.7,0,0,0,0,5,0,1,8.5
24,71.65,14.7,0,0,0,0,5,0,1,8.5
25,72.2,14.7,0,0,0,0,5,0,1,8.5
26,72.75,14.7,0,0,0,0,5,0,1,8.5
27,73.3,14.7,0,0,0,0,5,0,1,8.5
28,73.85,14.7,0,0,0,0,5,0,1,8.5
29,74.4,14.7,0,0,0,0,5,0,1,8.5
30,74.95,14.7,0,0,0,0,5,0,1,8.5
31,75,14.7,0,0,0,0,5,0,1,8.5
32,75.55,14.7,0,0,0,0,5,0,1,8.5
33,76.1,14.7,0,0,0,0,5,0,1,8.5
34,76.65,14.7,0,0,0,0,5,0,1,8.5
35,77.2,14.7,0,0,0,0,5,0,1,8.5
36,77.75,14.7,0,0,0,0,5,0,1,8.5
37,78.3,14.7,0,0,0,0,5,0,1,8.5
38,78.85,14.7,0,0,0,0,5,0,1,8.5
39,79.4,14.7,0,0,0,0,5,0,1,8.5
40,79.95,14.7,0,0,0,0,5,0,1,8.5
41,80,14.7,0,0,0,0,5,0,1,8.5
42,80.66,14.7,0,0,0,0,5,0,1,8.5
43,81.32,14.7,0,0,0,0,5,0,1,8.5
44,81.98,14.7,0,0,0,0,5,0,1,8.5
45,82.64,14.7,0,0,0,0,5,0,1,8.5
46,83.3,14.7,0,0,0,0,5,0,1,8.5
47,83.96,14.7,0,0,0,0,5,0,1,8.5
48,84.62,14.7,0,0,0,0,5,0,1,8.5
49,85.28,14.7,0,0,0,0,5,0,1,8.5
50,85.94,14.7,0,0,0,0,5,0,1,8.5
