2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,29,14.7,0,0,0,0,5,0,1,8.5
2,29.66,14.7,0,0,0,0,5,0,1,8.5
3,30.32,14.7,0,0,0,0,5,0,1,8.5
4,30.98,14.7,0,0,0,0,5,0,1,8.5
5,31.64,14.7,0,0,0,0,5,0,1,8.5
6,32.3,14.7,0,0,0,0,5,0,1,8.5
7,32.96,14.7,0,0,0,0,5,0,1,8.5
8,33.62,14.7,0,0,0,0,5,0,1,8.5
9,34.28,14.7,0,0,0,0,5,0,1,8.5
10,34.94,14.7,0,0,0,0,5,0,1,8.5
11,35,14.7,0,0,0,0,5,0,1,8.5
12,35.66,14.7,0,0,0,0,5,0,1,8.5
13,36.32,14.7,0,0,0,0,5,0,1,8.5
14,36.98,14.7,0,0,0,0,5,0,1,8.5
15,37.64,14.7,0,0,0,0,5,0,1,8.5
16,38.3,14.7,0,0,0,0,5,0,1,8.5
17,38.96,14.7,0,0,0,0,5,0,1,8.5
18,39.62,14.7,0,0,0,0,5,0,1,8.5
19,40.28,14.7,0,0,0,0,5,0,1,8.5
20,40.94,14.7,0,0,0,0,5,0,1,8.5
21,41,14.7,0,0,0,0,5,0,1,8.5
22,41.66,14.7,0,0,0,0,5,0,1,8.5
23,42.32,14.7,0,0,0,0,5,0,1,8.5
24,42.98,14.7,0,0,0,0,5,0,1,8.5
25,43.64,14.7,0,0,0,0,5,0,1,8.5
26,44.3,14.7,0,0,0,0,5,0,1,8.5
27,44.96,14.7,0,0,0,0,5,0,1,8.5
28,45.62,14.7,0,0,0,0,5,0,1,8.5
29,46.28,14.7,0,0,0,0,5,0,1,8.5
30,46.94,14.7,0,0,0,0,5,0,1,8.5
31,47,14.7,0,0,0,0,5,0,1,8.5
32,47.66,14.7,0,0,0,0,5,0,1,8.5
33,48.32,14.7,0,0,0,0,5,0,1,8.5
34,48.98,14.7,0,0,0,0,5,0,1,8.5
35,49.64,14.7,0,0,0,0,5,0,1,8.5
36,50.3,14.7,0,0,0,0,5,0,1,8.5
37,50.96,14.7,0,0,0,0,5,0,1,8.5
38,51.62,14.7,0,0,0,0,5,0,1,8.5
39,52.28,14.7,0,0,0,0,5,0,1,8.5
40,52.94,14.7,0,0,0,0,5,0,1,8.5
41,53,14.7,0,0,0,0,5,0,1,8.5
42,53.66,14.7,0,0,0,0,5,0,1,8.5
43,54.32,14.7,0,0,0,0,5,0,1,8.5
44,54.98,14.7,0,0,0,0,5,0,1,8.5
45,55.64,14.7,0,0,0,0,5,0,1,8.5
46,56.3,14.7,0,0,0,0,5,0,1,8.5
47,56.96,14.7,0,0,0,0,5,0,1,8.5
48,57.62,14.7,0,0,0,0,5,0,1,8.5
49,58.28,14.7,0,0,0,0,5,0,1,8.5
50,58.94,14.7,0,0,0,0,5,0,1,8.5
