2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,22,14.7,0,0,0,0,5,0,1,8.5
2,22.66,14.7,0,0,0,0,5,0,1,8.5
3,23.32,14.7,0,0,0,0,5,0,1,8.5
4,23.98,14.7,0,0,0,0,5,0,1,8.5
5,24.64,14.7,0,0,0,0,5,0,1,8.5
6,25.3,14.7,0,0,0,0,5,0,1,8.5
7,25.96,14.7,0,0,0,0,5,0,1,8.5
8,26.62,14.7,0,0,0,0,5,0,1,8.5
9,27.28,14.7,0,0,0,0,5,0,1,8.5
10,27.94,14.7,0,0,0,0,5,0,1,8.5
11,28,14.7,0,0,0,0,5,0,1,8.5
12,28.66,14.7,0,0,0,0,5,0,1,8.5
13,29.32,14.7,0,0,0,0,5,0,1,8.5
14,29.98,14.7,0,0,0,0,5,0,1,8.5
15,30.64,14.7,0,0,0,0,5,0,1,8.5
16,31.3,14.7,0,0,0,0,5,0,1,8.5
17,31.96,14.7,0,0,0,0,5,0,1,8.5
18,32.62,14.7,0,0,0,0,5,0,1,8.5
19,33.28,14.7,0,0,0,0,5,0,1,8.5
20,33.94,14.7,0,0,0,0,5,0,1,8.5
21,34,14.7,0,0,0,0,5,0,1,8.5
22,34.66,14.7,0,0,0,0,5,0,1,8.5
23,35.32,14.7,0,0,0,0,5,0,1,8.5
24,35.98,14.7,0,0,0,0,5,0,1,8.5
25,36.64,14.7,0,0,0,0,5,0,1,8.5
26,37.3,14.7,0,0,0,0,5,0,1,8.5
27,37.96,14.7,0,0,0,0,5,0,1,8.5
28,38.62,14.7,0,0,0,0,5,0,1,8.5
29,39.28,14.7,0,0,0,0,5,0,1,8.5
30,39.94,14.7,0,0,0,0,5,0,1,8.5
31,40,14.7,0,0,0,0,5,0,1,8.5
32,40.66,14.7,0,0,0,0,5,0,1,8.5
33,41.32,14.7,0,0,0,0,5,0,1,8.5
34,41.98,14.7,0,0,0,0,5,0,1,8.5
35,42.64,14.7,0,0,0,0,5,0,1,8.5
36,43.3,14.7,0,0,0,0,5,0,1,8.5
37,43.96,14.7,0,0,0,0,5,0,1,8.5
38,44.62,14.7,0,0,0,0,5,0,1,8.5
39,45.28,14.7,0,0,0,0,5,0,1,8.5
40,45.94,14.7,0,0,0,0,5,0,1,8.5
41,46,14.7,0,0,0,0,5,0,1,8.5
42,46.44,14.7,0,0,0,0,5,0,1,8.5
43,46.88,14.7,0,0,0,0,5,0,1,8.5
44,47.32,14.7,0,0,0,0,5,0,1,8.5
45,47.76,14.7,0,0,0,0,5,0,1,8.5
46,48.2,14.7,0,0,0,0,5,0,1,8.5
47,48.64,14.7,0,0,0,0,5,0,1,8.5
48,49.08,14.7,0,0,0,0,5,0,1,8.5
49,49.52,14.7,0,0,0,0,5,0,1,8.5
50,49.96,14.7,0,0,0,0,5,0,1,8.5
