1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,171,11.1,40,39.6,5.0,2,0,0,1,0
2,172.44,11.1,40,39.6,5.0,2,0,0,1,0
3,173.88,11.1,40,39.6,5.0,2,0,0,1,0
4,175.32,11.1,40,39.6,5.0,2,0,0,1,0
5,176.76,11.1,40,39.6,5.0,2,0,0,1,0
6,178.2,11.1,40,39.6,5.0,2,0,0,1,0
7,179.64,11.1,40,39.6,5.0,2,0,0,1,0
8,181.08,11.1,40,39.6,5.0,2,0,0,1,0
9,182.52,11.1,40,39.6,5.0,2,0,0,1,0
10,183.96,11.1,40,39.6,5.0,2,0,0,1,0
11,185,11.1,40,39.6,5.0,2,0,0,1,0
12,186.33,11.1,40,39.6,5.0,2,0,0,1,0
13,187.66,11.1,40,39.6,5.0,2,0,0,1,0
14,188.99,11.1,40,39.6,5.0,2,0,0,1,0
15,190.32,11.1,40,39.6,5.0,2,0,0,1,0
16,191.65,11.1,40,39.6,5.0,2,0,0,1,0
17,192.98,11.1,40,39.6,5.0,2,0,0,1,0
18,194.31,11.1,40,39.6,5.0,2,0,0,1,0
19,195.64,11.1,40,39.6,5.0,2,0,0,1,0
20,196.97,11.1,40,39.6,5.0,2,0,0,1,0
21,198,11.1,40,39.6,5.0,2,0,0,1,0
22,199.33,11.1,40,39.6,5.0,2,0,0,1,0
23,200.66,11.1,40,39.6,5.0,2,0,0,1,0
24,201.99,11.1,40,39.6,5.0,2,0,0,1,0
25,203.32,11.1,40,39.6,5.0,2,0,0,1,0
26,204.65,11.1,40,39.6,5.0,2,0,0,1,0
27,205.98,11.1,40,39.6,5.0,2,0,0,1,0
28,207.31,11.1,40,39.6,5.0,2,0,0,1,0
29,208.64,11.1,40,39.6,5.0,2,0,0,1,0
30,209.97,11.1,40,39.6,5.0,2,0,0,1,0
31,211,11.1,40,39.6,5.0,2,0,0,1,0
32,212.44,11.1,40,39.6,5.0,2,0,0,1,0
33,213.88,11.1,40,39.6,5.0,2,0,0,1,0
34,215.32,11.1,40,39.6,5.0,2,0,0,1,0
35,216.76,11.1,40,39.6,5.0,2,0,0,1,0
36,218.2,11.1,40,39.6,5.0,2,0,0,1,0
37,219.64,11.1,40,39.6,5.0,2,0,0,1,0
38,221.08,11.1,40,39.6,5.0,2,0,0,1,0
39,222.52,11.1,40,39.6,5.0,2,0,0,1,0
40,223.96,11.1,40,39.6,5.0,2,0,0,1,0
41,225,11.1,40,39.6,5.0,2,0,0,1,0
42,226.66,11.1,40,39.6,5.0,2,0,0,1,0
43,228.32,11.1,40,39.6,5.0,2,0,0,1,0
44,229.98,11.1,40,39.6,5.0,2,0,0,1,0
45,231.64,11.1,40,39.6,5.0,2,0,0,1,0
46,233.3,11.1,40,39.6,5.0,2,0,0,1,0
47,234.96,11.1,40,39.6,5.0,2,0,0,1,0
48,236.62,11.1,40,39.6,5.0,2,0,0,1,0
49,238.28,11.1,40,39.6,5.0,2,0,0,1,0
50,239.94,11.1,40,39.6,5.0,2,0,0,1,0
