1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,212,11.1,40,39.6,5.0,2,0,0,1,0
2,217.44,11.1,40,39.6,5.0,2,0,0,1,0
3,222.88,11.1,40,39.6,5.0,2,0,0,1,0
4,228.32,11.1,40,39.6,5.0,2,0,0,1,0
5,233.76,11.1,40,39.6,5.0,2,0,0,1,0
6,239.2,11.1,40,39.6,5.0,2,0,0,1,0
7,244.64,11.1,40,39.6,5.0,2,0,0,1,0
8,250.08,11.1,40,39.6,5.0,2,0,0,1,0
9,255.52,11.1,40,39.6,5.0,2,0,0,1,0
10,260.96,11.1,40,39.6,5.0,2,0,0,1,0
11,266,11.1,40,39.6,5.0,2,0,0,1,0
12,271.33,11.1,40,39.6,5.0,2,0,0,1,0
13,276.66,11.1,40,39.6,5.0,2,0,0,1,0
14,281.99,11.1,40,39.6,5.0,2,0,0,1,0
15,287.32,11.1,40,39.6,5.0,2,0,0,1,0
16,292.65,11.1,40,39.6,5.0,2,0,0,1,0
17,297.98,11.1,40,39.6,5.0,2,0,0,1,0
18,303.31,11.1,40,39.6,5.0,2,0,0,1,0
19,308.64,11.1,40,39.6,5.0,2,0,0,1,0
20,313.97,11.1,40,39.6,5.0,2,0,0,1,0
21,319,11.1,40,39.6,5.0,2,0,0,1,0
22,324.33,11.1,40,39.6,5.0,2,0,0,1,0
23,329.66,11.1,40,39.6,5.0,2,0,0,1,0
24,334.99,11.1,40,39.6,5.0,2,0,0,1,0
25,340.32,11.1,40,39.6,5.0,2,0,0,1,0
26,345.65,11.1,40,39.6,5.0,2,0,0,1,0
27,350.98,11.1,40,39.6,5.0,2,0,0,1,0
28,356.31,11.1,40,39.6,5.0,2,0,0,1,0
29,361.64,11.1,40,39.6,5.0,2,0,0,1,0
30,366.97,11.1,40,39.6,5.0,2,0,0,1,0
31,372,11.1,40,39.6,5.0,2,0,0,1,0
32,377.33,11.1,40,39.6,5.0,2,0,0,1,0
33,382.66,11.1,40,39.6,5.0,2,0,0,1,0
34,387.99,11.1,40,39.6,5.0,2,0,0,1,0
35,393.32,11.1,40,39.6,5.0,2,0,0,1,0
36,398.65,11.1,40,39.6,5.0,2,0,0,1,0
37,403.98,11.1,40,39.6,5.0,2,0,0,1,0
38,409.31,11.1,40,39.6,5.0,2,0,0,1,0
39,414.64,11.1,40,39.6,5.0,2,0,0,1,0
40,419.97,11.1,40,39.6,5.0,2,0,0,1,0
41,425,11.1,40,39.6,5.0,2,0,0,1,0
42,431,11.1,40,39.6,5.0,2,0,0,1,0
43,437,11.1,40,39.6,5.0,2,0,0,1,0
44,443,11.1,40,39.6,5.0,2,0,0,1,0
45,449,11.1,40,39.6,5.0,2,0,0,1,0
46,455,11.1,40,39.6,5.0,2,0,0,1,0
47,461,11.1,40,39.6,5.0,2,0,0,1,0
48,467,11.1,40,39.6,5.0,2,0,0,1,0
49,473,11.1,40,39.6,5.0,2,0,0,1,0
50,479,11.1,40,39.6,5.0,2,0,0,1,0
