1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,170,5.6,25,34.7,1.0,2,0,0,1,0
2,174.33,5.6,25,34.7,1.0,2,0,0,1,0
3,178.66,5.6,25,34.7,1.0,2,0,0,1,0
4,182.99,5.6,25,34.7,1.0,2,0,0,1,0
5,187.32,5.6,25,34.7,1.0,2,0,0,1,0
6,191.65,5.6,25,34.7,1.0,2,0,0,1,0
7,195.98,5.6,25,34.7,1.0,2,0,0,1,0
8,200.31,5.6,25,34.7,1.0,2,0,0,1,0
9,204.64,5.6,25,34.7,1.0,2,0,0,1,0
10,208.97,5.6,25,34.7,1.0,2,0,0,1,0
11,212,5.6,25,34.7,1.0,2,0,0,1,0
12,216.33,5.6,25,34.7,1.0,2,0,0,1,0
13,220.66,5.6,25,34.7,1.0,2,0,0,1,0
14,224.99,5.6,25,34.7,1.0,2,0,0,1,0
15,229.32,5.6,25,34.7,1.0,2,0,0,1,0
16,233.65,5.6,25,34.7,1.0,2,0,0,1,0
17,237.98,5.6,25,34.7,1.0,2,0,0,1,0
18,242.31,5.6,25,34.7,1.0,2,0,0,1,0
19,246.64,5.6,25,34.7,1.0,2,0,0,1,0
20,250.97,5.6,25,34.7,1.0,2,0,0,1,0
21,255,5.6,25,34.7,1.0,2,0,0,1,0
22,259.33,5.6,25,34.7,1.0,2,0,0,1,0
23,263.66,5.6,25,34.7,1.0,2,0,0,1,0
24,267.99,5.6,25,34.7,1.0,2,0,0,1,0
25,272.32,5.6,25,34.7,1.0,2,0,0,1,0
26,276.65,5.6,25,34.7,1.0,2,0,0,1,0
27,280.98,5.6,25,34.7,1.0,2,0,0,1,0
28,285.31,5.6,25,34.7,1.0,2,0,0,1,0
29,289.64,5.6,25,34.7,1.0,2,0,0,1,0
30,293.97,5.6,25,34.7,1.0,2,0,0,1,0
31,298,5.6,25,34.7,1.0,2,0,0,1,0
32,302.33,5.6,25,34.7,1.0,2,0,0,1,0
33,306.66,5.6,25,34.7,1.0,2,0,0,1,0
34,310.99,5.6,25,34.7,1.0,2,0,0,1,0
35,315.32,5.6,25,34.7,1.0,2,0,0,1,0
36,319.65,5.6,25,34.7,1.0,2,0,0,1,0
37,323.98,5.6,25,34.7,1.0,2,0,0,1,0
38,328.31,5.6,25,34.7,1.0,2,0,0,1,0
39,332.64,5.6,25,34.7,1.0,2,0,0,1,0
40,336.97,5.6,25,34.7,1.0,2,0,0,1,0
41,341,5.6,25,34.7,1.0,2,0,0,1,0
42,345.77,5.6,25,34.7,1.0,2,0,0,1,0
43,350.54,5.6,25,34.7,1.0,2,0,0,1,0
44,355.31,5.6,25,34.7,1.0,2,0,0,1,0
45,360.08,5.6,25,34.7,1.0,2,0,0,1,0
46,364.85,5.6,25,34.7,1.0,2,0,0,1,0
47,369.62,5.6,25,34.7,1.0,2,0,0,1,0
48,374.39,5.6,25,34.7,1.0,2,0,0,1,0
49,379.16,5.6,25,34.7,1.0,2,0,0,1,0
50,383.93,5.6,25,34.7,1.0,2,0,0,1,0
