1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,155,5.6,25,34.7,1.0,2,0,0,1,0
2,158.33,5.6,25,34.7,1.0,2,0,0,1,0
3,161.66,5.6,25,34.7,1.0,2,0,0,1,0
4,164.99,5.6,25,34.7,1.0,2,0,0,1,0
5,168.32,5.6,25,34.7,1.0,2,0,0,1,0
6,171.65,5.6,25,34.7,1.0,2,0,0,1,0
7,174.98,5.6,25,34.7,1.0,2,0,0,1,0
8,178.31,5.6,25,34.7,1.0,2,0,0,1,0
9,181.64,5.6,25,34.7,1.0,2,0,0,1,0
10,184.97,5.6,25,34.7,1.0,2,0,0,1,0
11,188,5.6,25,34.7,1.0,2,0,0,1,0
12,191.22,5.6,25,34.7,1.0,2,0,0,1,0
13,194.44,5.6,25,34.7,1.0,2,0,0,1,0
14,197.66,5.6,25,34.7,1.0,2,0,0,1,0
15,200.88,5.6,25,34.7,1.0,2,0,0,1,0
16,204.1,5.6,25,34.7,1.0,2,0,0,1,0
17,207.32,5.6,25,34.7,1.0,2,0,0,1,0
18,210.54,5.6,25,34.7,1.0,2,0,0,1,0
19,213.76,5.6,25,34.7,1.0,2,0,0,1,0
20,216.98,5.6,25,34.7,1.0,2,0,0,1,0
21,220,5.6,25,34.7,1.0,2,0,0,1,0
22,223.22,5.6,25,34.7,1.0,2,0,0,1,0
23,226.44,5.6,25,34.7,1.0,2,0,0,1,0
24,229.66,5.6,25,34.7,1.0,2,0,0,1,0
25,232.88,5.6,25,34.7,1.0,2,0,0,1,0
26,236.1,5.6,25,34.7,1.0,2,0,0,1,0
27,239.32,5.6,25,34.7,1.0,2,0,0,1,0
28,242.54,5.6,25,34.7,1.0,2,0,0,1,0
29,245.76,5.6,25,34.7,1.0,2,0,0,1,0
30,248.98,5.6,25,34.7,1.0,2,0,0,1,0
31,252,5.6,25,34.7,1.0,2,0,0,1,0
32,255.33,5.6,25,34.7,1.0,2,0,0,1,0
33,258.66,5.6,25,34.7,1.0,2,0,0,1,0
34,261.99,5.6,25,34.7,1.0,2,0,0,1,0
35,265.32,5.6,25,34.7,1.0,2,0,0,1,0
36,268.65,5.6,25,34.7,1.0,2,0,0,1,0
37,271.98,5.6,25,34.7,1.0,2,0,0,1,0
38,275.31,5.6,25,34.7,1.0,2,0,0,1,0
39,278.64,5.6,25,34.7,1.0,2,0,0,1,0
40,281.97,5.6,25,34.7,1.0,2,0,0,1,0
41,285,5.6,25,34.7,1.0,2,0,0,1,0
42,288.44,5.6,25,34.7,1.0,2,0,0,1,0
43,291.88,5.6,25,34.7,1.0,2,0,0,1,0
44,295.32,5.6,25,34.7,1.0,2,0,0,1,0
45,298.76,5.6,25,34.7,1.0,2,0,0,1,0
46,302.2,5.6,25,34.7,1.0,2,0,0,1,0
47,305.64,5.6,25,34.7,1.0,2,0,0,1,0
48,309.08,5.6,25,34.7,1.0,2,0,0,1,0
49,312.52,5.6,25,34.7,1.0,2,0,0,1,0
50,315.96,5.6,25,34.7,1.0,2,0,0,1,0
