1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,390,11,25,0,0,0,3,0,1,0
2,399.88,11,25,0,0,0,3,0,1,0
3,409.76,11,25,0,0,0,3,0,1,0
4,419.64,11,25,0,0,0,3,0,1,0
5,429.52,11,25,0,0,0,3,0,1,0
6,439.4,11,25,0,0,0,3,0,1,0
7,449.28,11,25,0,0,0,3,0,1,0
8,459.16,11,25,0,0,0,3,0,1,0
9,469.04,11,25,0,0,0,3,0,1,0
10,478.92,11,25,0,0,0,3,0,1,0
11,489,11,25,0,0,0,3,0,1,0
12,498.88,11,25,0,0,0,3,0,1,0
13,508.76,11,25,0,0,0,3,0,1,0
14,518.64,11,25,0,0,0,3,0,1,0
15,528.52,11,25,0,0,0,3,0,1,0
16,538.4,11,25,0,0,0,3,0,1,0
17,548.28,11,25,0,0,0,3,0,1,0
18,558.16,11,25,0,0,0,3,0,1,0
19,568.04,11,25,0,0,0,3,0,1,0
20,577.92,11,25,0,0,0,3,0,1,0
21,588,11,25,0,0,0,3,0,1,0
22,597.88,11,25,0,0,0,3,0,1,0
23,607.76,11,25,0,0,0,3,0,1,0
24,617.64,11,25,0,0,0,3,0,1,0
25,627.52,11,25,0,0,0,3,0,1,0
26,637.4,11,25,0,0,0,3,0,1,0
27,647.28,11,25,0,0,0,3,0,1,0
28,657.16,11,25,0,0,0,3,0,1,0
29,667.04,11,25,0,0,0,3,0,1,0
30,676.92,11,25,0,0,0,3,0,1,0
31,686,11,25,0,0,0,3,0,1,0
32,696,11,25,0,0,0,3,0,1,0
33,706,11,25,0,0,0,3,0,1,0
34,716,11,25,0,0,0,3,0,1,0
35,726,11,25,0,0,0,3,0,1,0
36,736,11,25,0,0,0,3,0,1,0
37,746,11,25,0,0,0,3,0,1,0
38,756,11,25,0,0,0,3,0,1,0
39,766,11,25,0,0,0,3,0,1,0
40,776,11,25,0,0,0,3,0,1,0
41,785,11,25,0,0,0,3,0,1,0
42,795.88,11,25,0,0,0,3,0,1,0
43,806.76,11,25,0,0,0,3,0,1,0
44,817.64,11,25,0,0,0,3,0,1,0
45,828.52,11,25,0,0,0,3,0,1,0
46,839.4,11,25,0,0,0,3,0,1,0
47,850.28,11,25,0,0,0,3,0,1,0
48,861.16,11,25,0,0,0,3,0,1,0
49,872.04,11,25,0,0,0,3,0,1,0
50,882.92,11,25,0,0,0,3,0,1,0
