1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,732,11,25,0,0,0,3,0,1,0
2,738.66,11,25,0,0,0,3,0,1,0
3,745.32,11,25,0,0,0,3,0,1,0
4,751.98,11,25,0,0,0,3,0,1,0
5,758.64,11,25,0,0,0,3,0,1,0
6,765.3,11,25,0,0,0,3,0,1,0
7,771.96,11,25,0,0,0,3,0,1,0
8,778.62,11,25,0,0,0,3,0,1,0
9,785.28,11,25,0,0,0,3,0,1,0
10,791.94,11,25,0,0,0,3,0,1,0
11,798,11,25,0,0,0,3,0,1,0
12,804.55,11,25,0,0,0,3,0,1,0
13,811.1,11,25,0,0,0,3,0,1,0
14,817.65,11,25,0,0,0,3,0,1,0
15,824.2,11,25,0,0,0,3,0,1,0
16,830.75,11,25,0,0,0,3,0,1,0
17,837.3,11,25,0,0,0,3,0,1,0
18,843.85,11,25,0,0,0,3,0,1,0
19,850.4,11,25,0,0,0,3,0,1,0
20,856.95,11,25,0,0,0,3,0,1,0
21,863,11,25,0,0,0,3,0,1,0
22,869.66,11,25,0,0,0,3,0,1,0
23,876.32,11,25,0,0,0,3,0,1,0
24,882.98,11,25,0,0,0,3,0,1,0
25,889.64,11,25,0,0,0,3,0,1,0
26,896.3,11,25,0,0,0,3,0,1,0
27,902.96,11,25,0,0,0,3,0,1,0
28,909.62,11,25,0,0,0,3,0,1,0
29,916.28,11,25,0,0,0,3,0,1,0
30,922.94,11,25,0,0,0,3,0,1,0
31,929,11,25,0,0,0,3,0,1,0
32,935.55,11,25,0,0,0,3,0,1,0
33,942.1,11,25,0,0,0,3,0,1,0
34,948.65,11,25,0,0,0,3,0,1,0
35,955.2,11,25,0,0,0,3,0,1,0
36,961.75,11,25,0,0,0,3,0,1,0
37,968.3,11,25,0,0,0,3,0,1,0
38,974.85,11,25,0,0,0,3,0,1,0
39,981.4,11,25,0,0,0,3,0,1,0
40,987.95,11,25,0,0,0,3,0,1,0
41,994,11,25,0,0,0,3,0,1,0
42,1001.33,11,25,0,0,0,3,0,1,0
43,1008.66,11,25,0,0,0,3,0,1,0
44,1015.99,11,25,0,0,0,3,0,1,0
45,1023.32,11,25,0,0,0,3,0,1,0
46,1030.65,11,25,0,0,0,3,0,1,0
47,1037.98,11,25,0,0,0,3,0,1,0
48,1045.31,11,25,0,0,0,3,0,1,0
49,1052.64,11,25,0,0,0,3,0,1,0
50,1059.97,11,25,0,0,0,3,0,1,0
