1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,357,11,25,0,0,0,3,0,1,0
2,364.33,11,25,0,0,0,3,0,1,0
3,371.66,11,25,0,0,0,3,0,1,0
4,378.99,11,25,0,0,0,3,0,1,0
5,386.32,11,25,0,0,0,3,0,1,0
6,393.65,11,25,0,0,0,3,0,1,0
7,400.98,11,25,0,0,0,3,0,1,0
8,408.31,11,25,0,0,0,3,0,1,0
9,415.64,11,25,0,0,0,3,0,1,0
10,422.97,11,25,0,0,0,3,0,1,0
11,430,11,25,0,0,0,3,0,1,0
12,437.33,11,25,0,0,0,3,0,1,0
13,444.66,11,25,0,0,0,3,0,1,0
14,451.99,11,25,0,0,0,3,0,1,0
15,459.32,11,25,0,0,0,3,0,1,0
16,466.65,11,25,0,0,0,3,0,1,0
17,473.98,11,25,0,0,0,3,0,1,0
18,481.31,11,25,0,0,0,3,0,1,0
19,488.64,11,25,0,0,0,3,0,1,0
20,495.97,11,25,0,0,0,3,0,1,0
21,503,11,25,0,0,0,3,0,1,0
22,510.44,11,25,0,0,0,3,0,1,0
23,517.88,11,25,0,0,0,3,0,1,0
24,525.32,11,25,0,0,0,3,0,1,0
25,532.76,11,25,0,0,0,3,0,1,0
26,540.2,11,25,0,0,0,3,0,1,0
27,547.64,11,25,0,0,0,3,0,1,0
28,555.08,11,25,0,0,0,3,0,1,0
29,562.52,11,25,0,0,0,3,0,1,0
30,569.96,11,25,0,0,0,3,0,1,0
31,576,11,25,0,0,0,3,0,1,0
32,583.44,11,25,0,0,0,3,0,1,0
33,590.88,11,25,0,0,0,3,0,1,0
34,598.32,11,25,0,0,0,3,0,1,0
35,605.76,11,25,0,0,0,3,0,1,0
36,613.2,11,25,0,0,0,3,0,1,0
37,620.64,11,25,0,0,0,3,0,1,0
38,628.08,11,25,0,0,0,3,0,1,0
39,635.52,11,25,0,0,0,3,0,1,0
40,642.96,11,25,0,0,0,3,0,1,0
41,649,11,25,0,0,0,3,0,1,0
42,657.33,11,25,0,0,0,3,0,1,0
43,665.66,11,25,0,0,0,3,0,1,0
44,673.99,11,25,0,0,0,3,0,1,0
45,682.32,11,25,0,0,0,3,0,1,0
46,690.65,11,25,0,0,0,3,0,1,0
47,698.98,11,25,0,0,0,3,0,1,0
48,707.31,11,25,0,0,0,3,0,1,0
49,715.64,11,25,0,0,0,3,0,1,0
50,723.97,11,25,0,0,0,3,0,1,0
