1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,337,11,25,0,0,0,3,0,1,0
2,342.11,11,25,0,0,0,3,0,1,0
3,347.22,11,25,0,0,0,3,0,1,0
4,352.33,11,25,0,0,0,3,0,1,0
5,357.44,11,25,0,0,0,3,0,1,0
6,362.55,11,25,0,0,0,3,0,1,0
7,367.66,11,25,0,0,0,3,0,1,0
8,372.77,11,25,0,0,0,3,0,1,0
9,377.88,11,25,0,0,0,3,0,1,0
10,382.99,11,25,0,0,0,3,0,1,0
11,388,11,25,0,0,0,3,0,1,0
12,393.22,11,25,0,0,0,3,0,1,0
13,398.44,11,25,0,0,0,3,0,1,0
14,403.66,11,25,0,0,0,3,0,1,0
15,408.88,11,25,0,0,0,3,0,1,0
16,414.1,11,25,0,0,0,3,0,1,0
17,419.32,11,25,0,0,0,3,0,1,0
18,424.54,11,25,0,0,0,3,0,1,0
19,429.76,11,25,0,0,0,3,0,1,0
20,434.98,11,25,0,0,0,3,0,1,0
21,439,11,25,0,0,0,3,0,1,0
22,444.22,11,25,0,0,0,3,0,1,0
23,449.44,11,25,0,0,0,3,0,1,0
24,454.66,11,25,0,0,0,3,0,1,0
25,459.88,11,25,0,0,0,3,0,1,0
26,465.1,11,25,0,0,0,3,0,1,0
27,470.32,11,25,0,0,0,3,0,1,0
28,475.54,11,25,0,0,0,3,0,1,0
29,480.76,11,25,0,0,0,3,0,1,0
30,485.98,11,25,0,0,0,3,0,1,0
31,491,11,25,0,0,0,3,0,1,0
32,496.11,11,25,0,0,0,3,0,1,0
33,501.22,11,25,0,0,0,3,0,1,0
34,506.33,11,25,0,0,0,3,0,1,0
35,511.44,11,25,0,0,0,3,0,1,0
36,516.55,11,25,0,0,0,3,0,1,0
37,521.66,11,25,0,0,0,3,0,1,0
38,526.77,11,25,0,0,0,3,0,1,0
39,531.88,11,25,0,0,0,3,0,1,0
40,536.99,11,25,0,0,0,3,0,1,0
41,542,11,25,0,0,0,3,0,1,0
42,547.77,11,25,0,0,0,3,0,1,0
43,553.54,11,25,0,0,0,3,0,1,0
44,559.31,11,25,0,0,0,3,0,1,0
45,565.08,11,25,0,0,0,3,0,1,0
46,570.85,11,25,0,0,0,3,0,1,0
47,576.62,11,25,0,0,0,3,0,1,0
48,582.39,11,25,0,0,0,3,0,1,0
49,588.16,11,25,0,0,0,3,0,1,0
50,593.93,11,25,0,0,0,3,0,1,0
