1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,441,0,0,0,0,0,0,0,0,0
2,452.22,0,0,0,0,0,0,0,0,0
3,463.44,0,0,0,0,0,0,0,0,0
4,474.66,0,0,0,0,0,0,0,0,0
5,485.88,0,0,0,0,0,0,0,0,0
6,497.1,0,0,0,0,0,0,0,0,0
7,508.32,0,0,0,0,0,0,0,0,0
8,519.54,0,0,0,0,0,0,0,0,0
9,530.76,0,0,0,0,0,0,0,0,0
10,541.98,0,0,0,0,0,0,0,0,0
11,553,0,0,0,0,0,0,0,0,0
12,564.22,0,0,0,0,0,0,0,0,0
13,575.44,0,0,0,0,0,0,0,0,0
14,586.66,0,0,0,0,0,0,0,0,0
15,597.88,0,0,0,0,0,0,0,0,0
16,609.1,0,0,0,0,0,0,0,0,0
17,620.32,0,0,0,0,0,0,0,0,0
18,631.54,0,0,0,0,0,0,0,0,0
19,642.76,0,0,0,0,0,0,0,0,0
20,653.98,0,0,0,0,0,0,0,0,0
21,665,0,0,0,0,0,0,0,0,0
22,676.22,0,0,0,0,0,0,0,0,0
23,687.44,0,0,0,0,0,0,0,0,0
24,698.66,0,0,0,0,0,0,0,0,0
25,709.88,0,0,0,0,0,0,0,0,0
26,721.1,0,0,0,0,0,0,0,0,0
27,732.32,0,0,0,0,0,0,0,0,0
28,743.54,0,0,0,0,0,0,0,0,0
29,754.76,0,0,0,0,0,0,0,0,0
30,765.98,0,0,0,0,0,0,0,0,0
31,777,0,0,0,0,0,0,0,0,0
32,788.22,0,0,0,0,0,0,0,0,0
33,799.44,0,0,0,0,0,0,0,0,0
34,810.66,0,0,0,0,0,0,0,0,0
35,821.88,0,0,0,0,0,0,0,0,0
36,833.1,0,0,0,0,0,0,0,0,0
37,844.32,0,0,0,0,0,0,0,0,0
38,855.54,0,0,0,0,0,0,0,0,0
39,866.76,0,0,0,0,0,0,0,0,0
40,877.98,0,0,0,0,0,0,0,0,0
41,889,0,0,0,0,0,0,0,0,0
42,901.33,0,0,0,0,0,0,0,0,0
43,913.66,0,0,0,0,0,0,0,0,0
44,925.99,0,0,0,0,0,0,0,0,0
45,938.32,0,0,0,0,0,0,0,0,0
46,950.65,0,0,0,0,0,0,0,0,0
47,962.98,0,0,0,0,0,0,0,0,0
48,975.31,0,0,0,0,0,0,0,0,0
49,987.64,0,0,0,0,0,0,0,0,0
50,999.97,0,0,0,0,0,0,0,0,0
