1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,829,0,0,0,0,0,0,0,0,0
2,836.44,0,0,0,0,0,0,0,0,0
3,843.88,0,0,0,0,0,0,0,0,0
4,851.32,0,0,0,0,0,0,0,0,0
5,858.76,0,0,0,0,0,0,0,0,0
6,866.2,0,0,0,0,0,0,0,0,0
7,873.64,0,0,0,0,0,0,0,0,0
8,881.08,0,0,0,0,0,0,0,0,0
9,888.52,0,0,0,0,0,0,0,0,0
10,895.96,0,0,0,0,0,0,0,0,0
11,903,0,0,0,0,0,0,0,0,0
12,910.44,0,0,0,0,0,0,0,0,0
13,917.88,0,0,0,0,0,0,0,0,0
14,925.32,0,0,0,0,0,0,0,0,0
15,932.76,0,0,0,0,0,0,0,0,0
16,940.2,0,0,0,0,0,0,0,0,0
17,947.64,0,0,0,0,0,0,0,0,0
18,955.08,0,0,0,0,0,0,0,0,0
19,962.52,0,0,0,0,0,0,0,0,0
20,969.96,0,0,0,0,0,0,0,0,0
21,977,0,0,0,0,0,0,0,0,0
22,984.44,0,0,0,0,0,0,0,0,0
23,991.88,0,0,0,0,0,0,0,0,0
24,999.32,0,0,0,0,0,0,0,0,0
25,1006.76,0,0,0,0,0,0,0,0,0
26,1014.2,0,0,0,0,0,0,0,0,0
27,1021.64,0,0,0,0,0,0,0,0,0
28,1029.08,0,0,0,0,0,0,0,0,0
29,1036.52,0,0,0,0,0,0,0,0,0
30,1043.96,0,0,0,0,0,0,0,0,0
31,1051,0,0,0,0,0,0,0,0,0
32,1058.44,0,0,0,0,0,0,0,0,0
33,1065.88,0,0,0,0,0,0,0,0,0
34,1073.32,0,0,0,0,0,0,0,0,0
35,1080.76,0,0,0,0,0,0,0,0,0
36,1088.2,0,0,0,0,0,0,0,0,0
37,1095.64,0,0,0,0,0,0,0,0,0
38,1103.08,0,0,0,0,0,0,0,0,0
39,1110.52,0,0,0,0,0,0,0,0,0
40,1117.96,0,0,0,0,0,0,0,0,0
41,1125,0,0,0,0,0,0,0,0,0
42,1133.33,0,0,0,0,0,0,0,0,0
43,1141.66,0,0,0,0,0,0,0,0,0
44,1149.99,0,0,0,0,0,0,0,0,0
45,1158.32,0,0,0,0,0,0,0,0,0
46,1166.65,0,0,0,0,0,0,0,0,0
47,1174.98,0,0,0,0,0,0,0,0,0
48,1183.31,0,0,0,0,0,0,0,0,0
49,1191.64,0,0,0,0,0,0,0,0,0
50,1199.97,0,0,0,0,0,0,0,0,0
