1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,404,0,0,0,0,0,0,0,0,0
2,412.33,0,0,0,0,0,0,0,0,0
3,420.66,0,0,0,0,0,0,0,0,0
4,428.99,0,0,0,0,0,0,0,0,0
5,437.32,0,0,0,0,0,0,0,0,0
6,445.65,0,0,0,0,0,0,0,0,0
7,453.98,0,0,0,0,0,0,0,0,0
8,462.31,0,0,0,0,0,0,0,0,0
9,470.64,0,0,0,0,0,0,0,0,0
10,478.97,0,0,0,0,0,0,0,0,0
11,487,0,0,0,0,0,0,0,0,0
12,495.33,0,0,0,0,0,0,0,0,0
13,503.66,0,0,0,0,0,0,0,0,0
14,511.99,0,0,0,0,0,0,0,0,0
15,520.32,0,0,0,0,0,0,0,0,0
16,528.65,0,0,0,0,0,0,0,0,0
17,536.98,0,0,0,0,0,0,0,0,0
18,545.31,0,0,0,0,0,0,0,0,0
19,553.64,0,0,0,0,0,0,0,0,0
20,561.97,0,0,0,0,0,0,0,0,0
21,570,0,0,0,0,0,0,0,0,0
22,578.33,0,0,0,0,0,0,0,0,0
23,586.66,0,0,0,0,0,0,0,0,0
24,594.99,0,0,0,0,0,0,0,0,0
25,603.32,0,0,0,0,0,0,0,0,0
26,611.65,0,0,0,0,0,0,0,0,0
27,619.98,0,0,0,0,0,0,0,0,0
28,628.31,0,0,0,0,0,0,0,0,0
29,636.64,0,0,0,0,0,0,0,0,0
30,644.97,0,0,0,0,0,0,0,0,0
31,653,0,0,0,0,0,0,0,0,0
32,661.33,0,0,0,0,0,0,0,0,0
33,669.66,0,0,0,0,0,0,0,0,0
34,677.99,0,0,0,0,0,0,0,0,0
35,686.32,0,0,0,0,0,0,0,0,0
36,694.65,0,0,0,0,0,0,0,0,0
37,702.98,0,0,0,0,0,0,0,0,0
38,711.31,0,0,0,0,0,0,0,0,0
39,719.64,0,0,0,0,0,0,0,0,0
40,727.97,0,0,0,0,0,0,0,0,0
41,736,0,0,0,0,0,0,0,0,0
42,745.33,0,0,0,0,0,0,0,0,0
43,754.66,0,0,0,0,0,0,0,0,0
44,763.99,0,0,0,0,0,0,0,0,0
45,773.32,0,0,0,0,0,0,0,0,0
46,782.65,0,0,0,0,0,0,0,0,0
47,791.98,0,0,0,0,0,0,0,0,0
48,801.31,0,0,0,0,0,0,0,0,0
49,810.64,0,0,0,0,0,0,0,0,0
50,819.97,0,0,0,0,0,0,0,0,0
