1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,381,0,0,0,0,0,0,0,0,0
2,387,0,0,0,0,0,0,0,0,0
3,393,0,0,0,0,0,0,0,0,0
4,399,0,0,0,0,0,0,0,0,0
5,405,0,0,0,0,0,0,0,0,0
6,411,0,0,0,0,0,0,0,0,0
7,417,0,0,0,0,0,0,0,0,0
8,423,0,0,0,0,0,0,0,0,0
9,429,0,0,0,0,0,0,0,0,0
10,435,0,0,0,0,0,0,0,0,0
11,440,0,0,0,0,0,0,0,0,0
12,446,0,0,0,0,0,0,0,0,0
13,452,0,0,0,0,0,0,0,0,0
14,458,0,0,0,0,0,0,0,0,0
15,464,0,0,0,0,0,0,0,0,0
16,470,0,0,0,0,0,0,0,0,0
17,476,0,0,0,0,0,0,0,0,0
18,482,0,0,0,0,0,0,0,0,0
19,488,0,0,0,0,0,0,0,0,0
20,494,0,0,0,0,0,0,0,0,0
21,499,0,0,0,0,0,0,0,0,0
22,505,0,0,0,0,0,0,0,0,0
23,511,0,0,0,0,0,0,0,0,0
24,517,0,0,0,0,0,0,0,0,0
25,523,0,0,0,0,0,0,0,0,0
26,529,0,0,0,0,0,0,0,0,0
27,535,0,0,0,0,0,0,0,0,0
28,541,0,0,0,0,0,0,0,0,0
29,547,0,0,0,0,0,0,0,0,0
30,553,0,0,0,0,0,0,0,0,0
31,558,0,0,0,0,0,0,0,0,0
32,564,0,0,0,0,0,0,0,0,0
33,570,0,0,0,0,0,0,0,0,0
34,576,0,0,0,0,0,0,0,0,0
35,582,0,0,0,0,0,0,0,0,0
36,588,0,0,0,0,0,0,0,0,0
37,594,0,0,0,0,0,0,0,0,0
38,600,0,0,0,0,0,0,0,0,0
39,606,0,0,0,0,0,0,0,0,0
40,612,0,0,0,0,0,0,0,0,0
41,617,0,0,0,0,0,0,0,0,0
42,623.22,0,0,0,0,0,0,0,0,0
43,629.44,0,0,0,0,0,0,0,0,0
44,635.66,0,0,0,0,0,0,0,0,0
45,641.88,0,0,0,0,0,0,0,0,0
46,648.1,0,0,0,0,0,0,0,0,0
47,654.32,0,0,0,0,0,0,0,0,0
48,660.54,0,0,0,0,0,0,0,0,0
49,666.76,0,0,0,0,0,0,0,0,0
50,672.98,0,0,0,0,0,0,0,0,0
