1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,281,6.1,0,4,0,2,3,0,1,0
2,283.22,6.1,0,4,0,2,3,0,1,0
3,285.44,6.1,0,4,0,2,3,0,1,0
4,287.66,6.1,0,4,0,2,3,0,1,0
5,289.88,6.1,0,4,0,2,3,0,1,0
6,292.1,6.1,0,4,0,2,3,0,1,0
7,294.32,6.1,0,4,0,2,3,0,1,0
8,296.54,6.1,0,4,0,2,3,0,1,0
9,298.76,6.1,0,4,0,2,3,0,1,0
10,300.98,6.1,0,4,0,2,3,0,1,0
11,303,6.1,0,4,0,2,3,0,1,0
12,305.22,6.1,0,4,0,2,3,0,1,0
13,307.44,6.1,0,4,0,2,3,0,1,0
14,309.66,6.1,0,4,0,2,3,0,1,0
15,311.88,6.1,0,4,0,2,3,0,1,0
16,314.1,6.1,0,4,0,2,3,0,1,0
17,316.32,6.1,0,4,0,2,3,0,1,0
18,318.54,6.1,0,4,0,2,3,0,1,0
19,320.76,6.1,0,4,0,2,3,0,1,0
20,322.98,6.1,0,4,0,2,3,0,1,0
21,325,6.1,0,4,0,2,3,0,1,0
22,327.22,6.1,0,4,0,2,3,0,1,0
23,329.44,6.1,0,4,0,2,3,0,1,0
24,331.66,6.1,0,4,0,2,3,0,1,0
25,333.88,6.1,0,4,0,2,3,0,1,0
26,336.1,6.1,0,4,0,2,3,0,1,0
27,338.32,6.1,0,4,0,2,3,0,1,0
28,340.54,6.1,0,4,0,2,3,0,1,0
29,342.76,6.1,0,4,0,2,3,0,1,0
30,344.98,6.1,0,4,0,2,3,0,1,0
31,347,6.1,0,4,0,2,3,0,1,0
32,349.22,6.1,0,4,0,2,3,0,1,0
33,351.44,6.1,0,4,0,2,3,0,1,0
34,353.66,6.1,0,4,0,2,3,0,1,0
35,355.88,6.1,0,4,0,2,3,0,1,0
36,358.1,6.1,0,4,0,2,3,0,1,0
37,360.32,6.1,0,4,0,2,3,0,1,0
38,362.54,6.1,0,4,0,2,3,0,1,0
39,364.76,6.1,0,4,0,2,3,0,1,0
40,366.98,6.1,0,4,0,2,3,0,1,0
41,369,6.1,0,4,0,2,3,0,1,0
42,371.66,6.1,0,4,0,2,3,0,1,0
43,374.32,6.1,0,4,0,2,3,0,1,0
44,376.98,6.1,0,4,0,2,3,0,1,0
45,379.64,6.1,0,4,0,2,3,0,1,0
46,382.3,6.1,0,4,0,2,3,0,1,0
47,384.96,6.1,0,4,0,2,3,0,1,0
48,387.62,6.1,0,4,0,2,3,0,1,0
49,390.28,6.1,0,4,0,2,3,0,1,0
50,392.94,6.1,0,4,0,2,3,0,1,0
