1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,651,6.1,0,4,0,2,3,0,1,0
2,656.77,6.1,0,4,0,2,3,0,1,0
3,662.54,6.1,0,4,0,2,3,0,1,0
4,668.31,6.1,0,4,0,2,3,0,1,0
5,674.08,6.1,0,4,0,2,3,0,1,0
6,679.85,6.1,0,4,0,2,3,0,1,0
7,685.62,6.1,0,4,0,2,3,0,1,0
8,691.39,6.1,0,4,0,2,3,0,1,0
9,697.16,6.1,0,4,0,2,3,0,1,0
10,702.93,6.1,0,4,0,2,3,0,1,0
11,709,6.1,0,4,0,2,3,0,1,0
12,714.88,6.1,0,4,0,2,3,0,1,0
13,720.76,6.1,0,4,0,2,3,0,1,0
14,726.64,6.1,0,4,0,2,3,0,1,0
15,732.52,6.1,0,4,0,2,3,0,1,0
16,738.4,6.1,0,4,0,2,3,0,1,0
17,744.28,6.1,0,4,0,2,3,0,1,0
18,750.16,6.1,0,4,0,2,3,0,1,0
19,756.04,6.1,0,4,0,2,3,0,1,0
20,761.92,6.1,0,4,0,2,3,0,1,0
21,767,6.1,0,4,0,2,3,0,1,0
22,772.88,6.1,0,4,0,2,3,0,1,0
23,778.76,6.1,0,4,0,2,3,0,1,0
24,784.64,6.1,0,4,0,2,3,0,1,0
25,790.52,6.1,0,4,0,2,3,0,1,0
26,796.4,6.1,0,4,0,2,3,0,1,0
27,802.28,6.1,0,4,0,2,3,0,1,0
28,808.16,6.1,0,4,0,2,3,0,1,0
29,814.04,6.1,0,4,0,2,3,0,1,0
30,819.92,6.1,0,4,0,2,3,0,1,0
31,825,6.1,0,4,0,2,3,0,1,0
32,830.88,6.1,0,4,0,2,3,0,1,0
33,836.76,6.1,0,4,0,2,3,0,1,0
34,842.64,6.1,0,4,0,2,3,0,1,0
35,848.52,6.1,0,4,0,2,3,0,1,0
36,854.4,6.1,0,4,0,2,3,0,1,0
37,860.28,6.1,0,4,0,2,3,0,1,0
38,866.16,6.1,0,4,0,2,3,0,1,0
39,872.04,6.1,0,4,0,2,3,0,1,0
40,877.92,6.1,0,4,0,2,3,0,1,0
41,884,6.1,0,4,0,2,3,0,1,0
42,890.44,6.1,0,4,0,2,3,0,1,0
43,896.88,6.1,0,4,0,2,3,0,1,0
44,903.32,6.1,0,4,0,2,3,0,1,0
45,909.76,6.1,0,4,0,2,3,0,1,0
46,916.2,6.1,0,4,0,2,3,0,1,0
47,922.64,6.1,0,4,0,2,3,0,1,0
48,929.08,6.1,0,4,0,2,3,0,1,0
49,935.52,6.1,0,4,0,2,3,0,1,0
50,941.96,6.1,0,4,0,2,3,0,1,0
