1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,317,6.1,0,4,0,2,3,0,1,0
2,323.66,6.1,0,4,0,2,3,0,1,0
3,330.32,6.1,0,4,0,2,3,0,1,0
4,336.98,6.1,0,4,0,2,3,0,1,0
5,343.64,6.1,0,4,0,2,3,0,1,0
6,350.3,6.1,0,4,0,2,3,0,1,0
7,356.96,6.1,0,4,0,2,3,0,1,0
8,363.62,6.1,0,4,0,2,3,0,1,0
9,370.28,6.1,0,4,0,2,3,0,1,0
10,376.94,6.1,0,4,0,2,3,0,1,0
11,382,6.1,0,4,0,2,3,0,1,0
12,388.66,6.1,0,4,0,2,3,0,1,0
13,395.32,6.1,0,4,0,2,3,0,1,0
14,401.98,6.1,0,4,0,2,3,0,1,0
15,408.64,6.1,0,4,0,2,3,0,1,0
16,415.3,6.1,0,4,0,2,3,0,1,0
17,421.96,6.1,0,4,0,2,3,0,1,0
18,428.62,6.1,0,4,0,2,3,0,1,0
19,435.28,6.1,0,4,0,2,3,0,1,0
20,441.94,6.1,0,4,0,2,3,0,1,0
21,447,6.1,0,4,0,2,3,0,1,0
22,453.55,6.1,0,4,0,2,3,0,1,0
23,460.1,6.1,0,4,0,2,3,0,1,0
24,466.65,6.1,0,4,0,2,3,0,1,0
25,473.2,6.1,0,4,0,2,3,0,1,0
26,479.75,6.1,0,4,0,2,3,0,1,0
27,486.3,6.1,0,4,0,2,3,0,1,0
28,492.85,6.1,0,4,0,2,3,0,1,0
29,499.4,6.1,0,4,0,2,3,0,1,0
30,505.95,6.1,0,4,0,2,3,0,1,0
31,512,6.1,0,4,0,2,3,0,1,0
32,518.55,6.1,0,4,0,2,3,0,1,0
33,525.1,6.1,0,4,0,2,3,0,1,0
34,531.65,6.1,0,4,0,2,3,0,1,0
35,538.2,6.1,0,4,0,2,3,0,1,0
36,544.75,6.1,0,4,0,2,3,0,1,0
37,551.3,6.1,0,4,0,2,3,0,1,0
38,557.85,6.1,0,4,0,2,3,0,1,0
39,564.4,6.1,0,4,0,2,3,0,1,0
40,570.95,6.1,0,4,0,2,3,0,1,0
41,577,6.1,0,4,0,2,3,0,1,0
42,584.44,6.1,0,4,0,2,3,0,1,0
43,591.88,6.1,0,4,0,2,3,0,1,0
44,599.32,6.1,0,4,0,2,3,0,1,0
45,606.76,6.1,0,4,0,2,3,0,1,0
46,614.2,6.1,0,4,0,2,3,0,1,0
47,621.64,6.1,0,4,0,2,3,0,1,0
48,629.08,6.1,0,4,0,2,3,0,1,0
49,636.52,6.1,0,4,0,2,3,0,1,0
50,643.96,6.1,0,4,0,2,3,0,1,0
