1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,300,6.1,0,4,0,2,3,0,1,0
2,304.55,6.1,0,4,0,2,3,0,1,0
3,309.1,6.1,0,4,0,2,3,0,1,0
4,313.65,6.1,0,4,0,2,3,0,1,0
5,318.2,6.1,0,4,0,2,3,0,1,0
6,322.75,6.1,0,4,0,2,3,0,1,0
7,327.3,6.1,0,4,0,2,3,0,1,0
8,331.85,6.1,0,4,0,2,3,0,1,0
9,336.4,6.1,0,4,0,2,3,0,1,0
10,340.95,6.1,0,4,0,2,3,0,1,0
11,346,6.1,0,4,0,2,3,0,1,0
12,350.66,6.1,0,4,0,2,3,0,1,0
13,355.32,6.1,0,4,0,2,3,0,1,0
14,359.98,6.1,0,4,0,2,3,0,1,0
15,364.64,6.1,0,4,0,2,3,0,1,0
16,369.3,6.1,0,4,0,2,3,0,1,0
17,373.96,6.1,0,4,0,2,3,0,1,0
18,378.62,6.1,0,4,0,2,3,0,1,0
19,383.28,6.1,0,4,0,2,3,0,1,0
20,387.94,6.1,0,4,0,2,3,0,1,0
21,392,6.1,0,4,0,2,3,0,1,0
22,396.66,6.1,0,4,0,2,3,0,1,0
23,401.32,6.1,0,4,0,2,3,0,1,0
24,405.98,6.1,0,4,0,2,3,0,1,0
25,410.64,6.1,0,4,0,2,3,0,1,0
26,415.3,6.1,0,4,0,2,3,0,1,0
27,419.96,6.1,0,4,0,2,3,0,1,0
28,424.62,6.1,0,4,0,2,3,0,1,0
29,429.28,6.1,0,4,0,2,3,0,1,0
30,433.94,6.1,0,4,0,2,3,0,1,0
31,438,6.1,0,4,0,2,3,0,1,0
32,442.66,6.1,0,4,0,2,3,0,1,0
33,447.32,6.1,0,4,0,2,3,0,1,0
34,451.98,6.1,0,4,0,2,3,0,1,0
35,456.64,6.1,0,4,0,2,3,0,1,0
36,461.3,6.1,0,4,0,2,3,0,1,0
37,465.96,6.1,0,4,0,2,3,0,1,0
38,470.62,6.1,0,4,0,2,3,0,1,0
39,475.28,6.1,0,4,0,2,3,0,1,0
40,479.94,6.1,0,4,0,2,3,0,1,0
41,484,6.1,0,4,0,2,3,0,1,0
42,488.88,6.1,0,4,0,2,3,0,1,0
43,493.76,6.1,0,4,0,2,3,0,1,0
44,498.64,6.1,0,4,0,2,3,0,1,0
45,503.52,6.1,0,4,0,2,3,0,1,0
46,508.4,6.1,0,4,0,2,3,0,1,0
47,513.28,6.1,0,4,0,2,3,0,1,0
48,518.16,6.1,0,4,0,2,3,0,1,0
49,523.04,6.1,0,4,0,2,3,0,1,0
50,527.92,6.1,0,4,0,2,3,0,1,0
