1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,397,10,0,5,0,2,3,0,1,0
2,407.11,10,0,5,0,2,3,0,1,0
3,417.22,10,0,5,0,2,3,0,1,0
4,427.33,10,0,5,0,2,3,0,1,0
5,437.44,10,0,5,0,2,3,0,1,0
6,447.55,10,0,5,0,2,3,0,1,0
7,457.66,10,0,5,0,2,3,0,1,0
8,467.77,10,0,5,0,2,3,0,1,0
9,477.88,10,0,5,0,2,3,0,1,0
10,487.99,10,0,5,0,2,3,0,1,0
11,497,10,0,5,0,2,3,0,1,0
12,507.22,10,0,5,0,2,3,0,1,0
13,517.44,10,0,5,0,2,3,0,1,0
14,527.66,10,0,5,0,2,3,0,1,0
15,537.88,10,0,5,0,2,3,0,1,0
16,548.1,10,0,5,0,2,3,0,1,0
17,558.32,10,0,5,0,2,3,0,1,0
18,568.54,10,0,5,0,2,3,0,1,0
19,578.76,10,0,5,0,2,3,0,1,0
20,588.98,10,0,5,0,2,3,0,1,0
21,598,10,0,5,0,2,3,0,1,0
22,608.11,10,0,5,0,2,3,0,1,0
23,618.22,10,0,5,0,2,3,0,1,0
24,628.33,10,0,5,0,2,3,0,1,0
25,638.44,10,0,5,0,2,3,0,1,0
26,648.55,10,0,5,0,2,3,0,1,0
27,658.66,10,0,5,0,2,3,0,1,0
28,668.77,10,0,5,0,2,3,0,1,0
29,678.88,10,0,5,0,2,3,0,1,0
30,688.99,10,0,5,0,2,3,0,1,0
31,699,10,0,5,0,2,3,0,1,0
32,709.11,10,0,5,0,2,3,0,1,0
33,719.22,10,0,5,0,2,3,0,1,0
34,729.33,10,0,5,0,2,3,0,1,0
35,739.44,10,0,5,0,2,3,0,1,0
36,749.55,10,0,5,0,2,3,0,1,0
37,759.66,10,0,5,0,2,3,0,1,0
38,769.77,10,0,5,0,2,3,0,1,0
39,779.88,10,0,5,0,2,3,0,1,0
40,789.99,10,0,5,0,2,3,0,1,0
41,799,10,0,5,0,2,3,0,1,0
42,810,10,0,5,0,2,3,0,1,0
43,821,10,0,5,0,2,3,0,1,0
44,832,10,0,5,0,2,3,0,1,0
45,843,10,0,5,0,2,3,0,1,0
46,854,10,0,5,0,2,3,0,1,0
47,865,10,0,5,0,2,3,0,1,0
48,876,10,0,5,0,2,3,0,1,0
49,887,10,0,5,0,2,3,0,1,0
50,898,10,0,5,0,2,3,0,1,0
