1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,744,10,0,5,0,2,3,0,1,0
2,750.66,10,0,5,0,2,3,0,1,0
3,757.32,10,0,5,0,2,3,0,1,0
4,763.98,10,0,5,0,2,3,0,1,0
5,770.64,10,0,5,0,2,3,0,1,0
6,777.3,10,0,5,0,2,3,0,1,0
7,783.96,10,0,5,0,2,3,0,1,0
8,790.62,10,0,5,0,2,3,0,1,0
9,797.28,10,0,5,0,2,3,0,1,0
10,803.94,10,0,5,0,2,3,0,1,0
11,811,10,0,5,0,2,3,0,1,0
12,817.66,10,0,5,0,2,3,0,1,0
13,824.32,10,0,5,0,2,3,0,1,0
14,830.98,10,0,5,0,2,3,0,1,0
15,837.64,10,0,5,0,2,3,0,1,0
16,844.3,10,0,5,0,2,3,0,1,0
17,850.96,10,0,5,0,2,3,0,1,0
18,857.62,10,0,5,0,2,3,0,1,0
19,864.28,10,0,5,0,2,3,0,1,0
20,870.94,10,0,5,0,2,3,0,1,0
21,877,10,0,5,0,2,3,0,1,0
22,883.66,10,0,5,0,2,3,0,1,0
23,890.32,10,0,5,0,2,3,0,1,0
24,896.98,10,0,5,0,2,3,0,1,0
25,903.64,10,0,5,0,2,3,0,1,0
26,910.3,10,0,5,0,2,3,0,1,0
27,916.96,10,0,5,0,2,3,0,1,0
28,923.62,10,0,5,0,2,3,0,1,0
29,930.28,10,0,5,0,2,3,0,1,0
30,936.94,10,0,5,0,2,3,0,1,0
31,944,10,0,5,0,2,3,0,1,0
32,950.66,10,0,5,0,2,3,0,1,0
33,957.32,10,0,5,0,2,3,0,1,0
34,963.98,10,0,5,0,2,3,0,1,0
35,970.64,10,0,5,0,2,3,0,1,0
36,977.3,10,0,5,0,2,3,0,1,0
37,983.96,10,0,5,0,2,3,0,1,0
38,990.62,10,0,5,0,2,3,0,1,0
39,997.28,10,0,5,0,2,3,0,1,0
40,1003.94,10,0,5,0,2,3,0,1,0
41,1010,10,0,5,0,2,3,0,1,0
42,1017.55,10,0,5,0,2,3,0,1,0
43,1025.1,10,0,5,0,2,3,0,1,0
44,1032.65,10,0,5,0,2,3,0,1,0
45,1040.2,10,0,5,0,2,3,0,1,0
46,1047.75,10,0,5,0,2,3,0,1,0
47,1055.3,10,0,5,0,2,3,0,1,0
48,1062.85,10,0,5,0,2,3,0,1,0
49,1070.4,10,0,5,0,2,3,0,1,0
50,1077.95,10,0,5,0,2,3,0,1,0
