1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,342,10,0,5,0,2,3,0,1,0
2,347.33,10,0,5,0,2,3,0,1,0
3,352.66,10,0,5,0,2,3,0,1,0
4,357.99,10,0,5,0,2,3,0,1,0
5,363.32,10,0,5,0,2,3,0,1,0
6,368.65,10,0,5,0,2,3,0,1,0
7,373.98,10,0,5,0,2,3,0,1,0
8,379.31,10,0,5,0,2,3,0,1,0
9,384.64,10,0,5,0,2,3,0,1,0
10,389.97,10,0,5,0,2,3,0,1,0
11,395,10,0,5,0,2,3,0,1,0
12,400.22,10,0,5,0,2,3,0,1,0
13,405.44,10,0,5,0,2,3,0,1,0
14,410.66,10,0,5,0,2,3,0,1,0
15,415.88,10,0,5,0,2,3,0,1,0
16,421.1,10,0,5,0,2,3,0,1,0
17,426.32,10,0,5,0,2,3,0,1,0
18,431.54,10,0,5,0,2,3,0,1,0
19,436.76,10,0,5,0,2,3,0,1,0
20,441.98,10,0,5,0,2,3,0,1,0
21,447,10,0,5,0,2,3,0,1,0
22,452.22,10,0,5,0,2,3,0,1,0
23,457.44,10,0,5,0,2,3,0,1,0
24,462.66,10,0,5,0,2,3,0,1,0
25,467.88,10,0,5,0,2,3,0,1,0
26,473.1,10,0,5,0,2,3,0,1,0
27,478.32,10,0,5,0,2,3,0,1,0
28,483.54,10,0,5,0,2,3,0,1,0
29,488.76,10,0,5,0,2,3,0,1,0
30,493.98,10,0,5,0,2,3,0,1,0
31,499,10,0,5,0,2,3,0,1,0
32,504.33,10,0,5,0,2,3,0,1,0
33,509.66,10,0,5,0,2,3,0,1,0
34,514.99,10,0,5,0,2,3,0,1,0
35,520.32,10,0,5,0,2,3,0,1,0
36,525.65,10,0,5,0,2,3,0,1,0
37,530.98,10,0,5,0,2,3,0,1,0
38,536.31,10,0,5,0,2,3,0,1,0
39,541.64,10,0,5,0,2,3,0,1,0
40,546.97,10,0,5,0,2,3,0,1,0
41,551,10,0,5,0,2,3,0,1,0
42,557,10,0,5,0,2,3,0,1,0
43,563,10,0,5,0,2,3,0,1,0
44,569,10,0,5,0,2,3,0,1,0
45,575,10,0,5,0,2,3,0,1,0
46,581,10,0,5,0,2,3,0,1,0
47,587,10,0,5,0,2,3,0,1,0
48,593,10,0,5,0,2,3,0,1,0
49,599,10,0,5,0,2,3,0,1,0
50,605,10,0,5,0,2,3,0,1,0
